step,decision,reward,task_latency,task_priority,vehicle_cpu,battery,edge_delay,cloud_delay
61,VEHICLE,135,10,3,41.69645385649642,14.715412166875193,19.91938816674164,119.82371415072464
62,VEHICLE,155,15,3,67.64743741278062,41.317505511377554,49.616199774783254,93.37388605204066
63,CLOUD,130,300,2,81.49529606030485,39.44810536043249,30.691136480045422,117.2154529725309
64,VEHICLE,130,15,2,89.93559914060761,92.14376709052613,7.2401771678087155,93.10252324583482
65,VEHICLE,160,10,2,50.882344612730165,42.85584840015808,25.961600911183417,128.67616297321055
66,EDGE,130,150,2,54.085926576210824,57.85576613573664,6.416780732956938,150.6192576458653
67,CLOUD,130,300,2,76.62278496875135,19.85364321030311,21.563053761313814,149.44108274096266
68,VEHICLE,160,10,2,35.98282893297122,79.56841104910298,8.879498079175491,83.81629940029335
69,EDGE,130,50,2,35.66509259340663,23.385134797704445,26.221533257003035,165.53458519270222
70,VEHICLE,165,10,1,50.174774981926944,47.53045161761026,40.40764205725619,116.23698503737984
71,CLOUD,125,300,3,55.32588799311327,17.808470241697314,25.946469315294515,91.61950810634556
72,VEHICLE,155,15,3,47.39466978959007,81.70866927369511,44.115591706832234,160.25662149477637
73,EDGE,130,150,2,54.65398957214751,81.21746047780778,5.680352339032384,122.68340876349254
74,VEHICLE,160,10,2,76.85156966731905,43.497481379223466,14.058937476440006,72.76559269721923
75,EDGE,125,50,3,89.48033612058362,32.58846376641497,32.76805987444283,146.2672574590992
76,EDGE,115,50,1,39.02640896106645,54.80166328021019,45.25289360454593,113.28620605742144
77,EDGE,135,150,1,52.7769399269864,19.28729242389506,23.40012204249469,99.54246814325445
78,VEHICLE,155,10,3,52.896388355707145,25.165938055886265,39.21200860485232,76.28074437469243
79,EDGE,125,150,3,59.128806883131176,60.1479460674339,24.946119267934993,178.54515915761124
80,VEHICLE,165,15,1,52.2136522843033,34.32079253815441,17.415703950984614,64.19776260122688
81,VEHICLE,165,15,1,65.4305357909133,39.27136016061448,10.996286809984134,104.23864191290983
82,EDGE,135,150,1,80.50437487093124,11.107353343080453,9.241819968489708,133.90081910883686
83,EDGE,110,50,2,88.28778816513714,15.82538688664843,41.9762248298111,139.6678696127231
84,EDGE,135,50,1,60.95405237027519,33.21871438646247,20.795152320136445,88.61140757155236
85,EDGE,135,150,1,42.63158412087698,80.14136200194625,37.101042010084655,160.91948744891937
86,VEHICLE,155,10,3,43.14171023859253,45.48413179378883,48.30831164331009,168.04624322129325
87,VEHICLE,160,15,2,70.15187746133445,48.67610497898846,37.626796339086916,112.34638638349337
88,VEHICLE,155,10,3,78.3254504649885,24.494181567510005,46.16781581195307,123.56363700279277
89,CLOUD,130,300,2,87.96556537484611,37.792582008194536,35.53307005362529,127.13210450251674
90,CLOUD,105,300,3,37.791215520308064,69.89058596479916,48.08302123436077,176.43398060000175
91,EDGE,130,50,2,83.78477388870658,41.26737263350856,17.45250936768163,61.28149925301566
92,VEHICLE,165,10,1,84.70820563368642,68.51044374317998,30.938361067234545,120.73288945885753
93,EDGE,135,50,1,71.4922408839796,67.74570541559308,10.178166420077877,118.19417325235914
94,VEHICLE,160,15,2,45.126686479157215,30.652748617360796,35.854377285496895,104.61676205231575
95,VEHICLE,165,10,1,68.24198257852572,42.43038897258877,43.19555465683817,157.7442004129511
96,EDGE,125,150,3,38.52041945538921,97.13826045885902,19.397687503140403,62.796882930402845
97,EDGE,125,150,3,80.76059677274927,55.06254935285396,38.07627020212511,74.62835573510021
98,VEHICLE,155,15,3,71.0231993713191,36.58304572250679,21.535757626609655,110.96372955034134
99,EDGE,115,50,1,30.795786336782268,33.348648109287936,49.340246722125336,81.75181465700607
100,VEHICLE,155,15,3,49.62882199322349,98.45961483504368,24.058357619726873,146.0121568477142
101,CLOUD,130,300,2,82.34186084148445,27.464215268731323,10.247391978224021,80.23794586674803
102,VEHICLE,155,15,3,67.7786082297375,77.28626101666946,6.2181406053497135,156.14964596991823
103,EDGE,130,50,2,55.871350772248576,46.13870663027184,25.656247017373875,90.00407394484277
104,VEHICLE,165,15,1,48.927631693207545,54.63182696242695,46.136698673707194,70.3256204831314
105,EDGE,130,150,2,48.28760863860708,23.22202643682186,30.76020343951315,103.53754051740347
106,VEHICLE,160,15,2,35.437542053806546,42.12631926074986,26.281675585215357,165.521008696112
107,CLOUD,110,300,2,52.29649608773397,80.21042211751195,25.475380298178102,156.1532741038526
108,EDGE,125,150,3,89.70936845709193,78.34595416994846,27.82274425277073,151.90971333234546
109,VEHICLE,130,15,2,85.4684301297031,62.85570287347183,41.400626858993704,110.00624188268185
110,EDGE,130,150,2,64.44725679905497,70.7996688042364,9.597021887585043,169.94485911972885
111,EDGE,125,50,3,40.33499531301051,82.02517940074985,8.547088325555151,63.09592973344954
112,CLOUD,130,300,2,64.41738613837927,50.401001839020395,39.407416343108686,117.88047337812174
113,EDGE,125,50,3,60.33537432552381,13.11112601092664,23.568088339705476,88.36642830388341
114,VEHICLE,155,15,3,44.629676528850354,76.95693471336408,6.301851735895937,158.9521036718166
115,VEHICLE,155,15,3,65.63351046788718,76.88344056879782,39.008520753921076,79.13663587717836
116,VEHICLE,135,15,1,93.8465809343017,91.20094198282511,34.67476969279447,108.87828730195142
117,VEHICLE,165,10,1,81.3440513111293,84.35518118269827,33.88242990313236,76.41932970729555
118,VEHICLE,155,10,3,37.80624871492264,27.570488948690972,24.34779645185534,173.70890502416782
119,EDGE,125,150,3,72.73701099659776,19.192939760161764,19.296078113623537,134.96949129824486
120,VEHICLE,160,10,2,34.79553186217034,39.967884739712005,24.357118494001337,64.93908029389087
121,EDGE,110,50,2,46.57026411537421,51.61697817001321,49.15407814485611,169.7994734160959
122,EDGE,130,50,2,38.08688902713248,29.230809780791883,17.143061050980194,118.21836919059436
123,EDGE,125,50,3,59.564427528159285,55.088478353428386,26.570275486550155,76.21078421574722
124,EDGE,135,50,1,65.47139490091227,33.100009412034204,8.462934258995169,93.00304301762327
125,EDGE,135,150,1,53.08025037729273,86.95776440938386,5.246008553637031,138.62164643404287
126,VEHICLE,155,10,3,39.2405701963896,51.80990917531955,42.675167032326094,90.98564329443849
127,VEHICLE,130,15,2,93.14450503811884,76.62192430988483,46.180760141942216,152.72775643904285
128,VEHICLE,160,10,2,33.221947384830976,62.863845599507975,26.452098898276212,100.50346503820018
129,CLOUD,135,300,1,72.86184760913669,96.49402703419537,47.01221298404509,124.54202360303628
130,EDGE,115,150,1,49.047322150054654,24.440955944524646,45.42039966431471,79.36089303492513
131,EDGE,115,50,1,42.166158713573054,10.108389158872384,42.21616845548864,88.95638984298576
132,CLOUD,130,300,2,40.75354902525976,58.81849906456702,19.64301271569802,106.3332114139238
133,VEHICLE,165,15,1,77.22385845324092,60.52744474302662,9.729939713410632,83.42766451258808
134,VEHICLE,160,10,2,78.69548223967972,91.78595691466082,49.31591968770643,161.08703542209105
135,VEHICLE,160,10,2,56.21304490996108,58.304868212084955,33.99887234380303,121.6381773889225
136,EDGE,125,150,3,35.32214309998016,35.88717762457843,14.784359076268453,67.42496887194469
137,CLOUD,110,300,2,84.06321480092706,82.5228449585653,29.047122704532374,171.90406889405523
138,EDGE,125,50,3,54.56482589645367,70.93302795196834,10.069251951543123,79.77355854525189
139,EDGE,125,50,3,40.89626910117372,16.01477074034005,11.535986562388484,166.87513910871542
140,VEHICLE,110,15,2,90.69645438160339,18.860490570075562,7.466256554854649,145.37723690937986
141,EDGE,135,150,1,92.67455366388447,17.929879844336156,16.005939810005295,143.09693706996666
142,VEHICLE,155,15,3,58.65338753291738,50.70083690701523,16.850337791143346,150.12250835592715
143,VEHICLE,145,10,1,50.840005405015916,17.274366394287853,33.130958075668794,153.61351112337948
144,CLOUD,135,300,1,89.42654941871416,69.20505163570752,36.74575508785741,121.68756400290883
145,VEHICLE,155,10,3,59.443359011207235,87.87046640609381,35.9365902475335,64.55966365249208
146,VEHICLE,155,15,3,61.930916244550474,64.05672137951792,15.319288152359135,172.03966666530565
147,CLOUD,125,300,3,74.92859184827141,74.54393894729111,45.90674160509893,134.58622480703616
148,EDGE,135,50,1,73.26404778842432,47.71934540005849,32.32599058457974,152.92419185296114
149,EDGE,105,50,3,53.585642219701654,51.17048295194763,47.397359479365605,154.48650109310128
150,CLOUD,130,300,2,66.2984615952572,34.32034866412946,24.52225295254379,75.39096845295549
151,CLOUD,130,300,2,82.20244910496706,30.11718298758698,28.35606422721155,114.33248192971806
152,EDGE,125,150,3,83.05598377512618,38.55992643115532,8.552362960561315,82.84351295159696
153,EDGE,125,50,3,72.19429037454418,80.10573090777326,37.22525278764449,114.37127888545709
154,CLOUD,125,300,3,32.48862219837534,84.218949374233,9.336499649388148,94.18192240956813
155,VEHICLE,160,15,2,39.153698627184525,95.97762059395464,9.049732643076183,106.60045968275384
156,EDGE,135,150,1,86.97615988638515,18.464712690592584,8.597160757683273,173.21699026381123
157,VEHICLE,135,10,3,36.85105018243572,11.69984533352342,38.16525747205316,104.4573983131876
158,CLOUD,125,300,3,45.34677266529917,15.606389384806494,41.7531400133622,117.8650588672617
159,CLOUD,135,300,1,55.42411245922236,37.33091345123408,42.494509522528666,91.88148178502954
160,VEHICLE,160,10,2,49.72974359342017,22.672283673339912,33.06949494385689,66.56668849555774
161,CLOUD,135,300,1,86.80561584981743,88.7366450675956,15.133867621181736,107.30833742110562
162,VEHICLE,160,15,2,33.22388213592201,66.96999729166933,10.548916215117998,149.96756230522527
163,EDGE,105,50,3,30.213639692328357,70.43182073800041,44.61383812504895,178.47964222243291
164,VEHICLE,155,10,3,50.34230417608558,88.07119402027453,7.180260928219204,116.43835319546669
165,EDGE,125,150,3,51.662330745937645,93.0592488063661,23.815336921561794,82.87100157131985
166,EDGE,110,50,2,84.8885677556146,79.41163338464833,44.29489212477137,139.59074390439463
167,VEHICLE,165,15,1,63.11820718664739,28.626523961067733,14.594136369560506,99.64438157011
168,CLOUD,115,300,1,72.31002520758896,87.32328023191852,18.865329860870933,153.41420467634492
169,EDGE,130,50,2,87.64898999201205,27.75482879036584,32.93655155343443,95.2575865528708
170,EDGE,105,50,3,71.99690311286153,55.95898115269894,47.19509983050084,69.8774558250002
171,CLOUD,105,300,3,89.55218884043819,66.35053016649582,18.148755421638583,177.191412645739
172,VEHICLE,155,15,3,46.1258763169334,91.3917077323236,31.762291393578785,121.56337295213086
173,VEHICLE,155,15,3,51.32977734450365,91.87202915179243,15.405121112082673,74.45514072208988
174,EDGE,130,150,2,49.05935220414299,46.636675936802625,12.555283377621898,126.43463795990124
175,CLOUD,125,300,3,72.83660319039214,66.19044803192025,43.58544540778172,111.57237608244012
176,EDGE,130,150,2,58.76300812256659,24.690178106485483,32.699785642540974,162.27287651446036
177,CLOUD,130,300,2,42.779974767290724,14.252515054152717,42.083499619374585,115.88368162531613
178,VEHICLE,155,15,3,46.08670142963803,42.323689632244516,32.88991076717938,177.4748529053767
179,EDGE,125,50,3,40.20751936068132,44.87051406610631,19.772913681568838,68.96452171255117
180,EDGE,115,50,1,51.71337256306686,31.704872429568038,48.83153593749746,107.76824334673134
181,EDGE,130,50,2,69.71836400797295,12.759470771420157,35.55112834623519,179.35875052144232
182,EDGE,135,150,1,34.538155850927204,58.92587433966852,9.073268476260598,154.82833781473107
183,EDGE,125,50,3,74.78514812581457,97.43996991214887,13.385719526247794,156.66456789352384
184,VEHICLE,155,10,3,46.698821162919074,20.94243333182034,45.911900460077824,78.39013677309318
185,VEHICLE,160,10,2,37.40650320089538,57.53273059272661,49.01146448645734,147.02927966571815
186,EDGE,135,150,1,84.40346828829738,83.01591682928634,39.12609414841181,138.75280427900984
187,EDGE,115,150,1,64.74696549160939,49.74864119890303,41.41150942352659,136.60950058195004
188,VEHICLE,145,10,1,69.75450569830892,10.958401789808985,45.05002849393717,139.9484840874331
189,EDGE,130,150,2,46.213496245550516,66.24443680903457,24.627603197468947,70.62913390005598
190,CLOUD,135,300,1,70.47893973396731,45.39358433484015,15.556687351986248,68.47225414136004
191,VEHICLE,155,15,3,84.25448321995026,73.98501636326006,25.564677368685118,152.83946093352444
192,EDGE,130,150,2,64.55719504787851,56.870428549409766,21.025705612030112,137.69773885589916
193,CLOUD,130,300,2,42.45936168563824,25.585603053670813,9.183850995957373,85.05817935197172
194,EDGE,115,50,1,36.53610504108688,88.18834664791747,42.931843573518684,104.23395365672599
195,EDGE,110,150,2,58.03023694029762,54.61547174126446,48.94376077919536,122.64289061106265
196,VEHICLE,160,15,2,34.94344370721587,51.78902540874935,36.99775632993548,156.70195461421147
197,VEHICLE,155,15,3,60.993012348910064,47.24902466939343,25.669482789469477,120.95522936403736
198,VEHICLE,165,10,1,42.936853535488204,25.23965594147598,46.69848385822309,150.2094095217065
199,CLOUD,125,300,3,68.1019303591764,25.952342400559473,36.5762377652096,138.64020631814017
200,VEHICLE,165,10,1,39.30890770821915,38.46420953798491,48.647072988645874,171.8489855284042
201,VEHICLE,160,10,2,68.10363661869542,73.60981177829424,18.990839390250528,176.23566452390577
202,EDGE,105,150,3,90.26879119991867,38.07223414174344,49.94208826198327,110.7851500981431
203,EDGE,135,150,1,35.9190923987058,97.46431025312054,37.27508951815492,124.70078439849189
204,VEHICLE,165,15,1,81.19773128903358,25.171579373851472,46.40080326853088,118.31575985413417
205,VEHICLE,160,10,2,36.49280084844577,86.99274079844562,8.118656576792583,170.72600435943343
206,VEHICLE,160,15,2,67.23627253665714,83.23597425079659,46.642933232081084,75.87783596254937
207,CLOUD,130,300,2,70.87665525714993,40.115446525472116,29.777893518404493,115.97722286740074
208,VEHICLE,155,10,3,84.27712124069527,98.64035368572293,24.3340645046225,112.71932640483811
209,EDGE,130,150,2,78.22785018282545,37.860618328601184,30.318134394232413,113.9261442157412
210,VEHICLE,165,15,1,62.45146139047977,97.89286582186304,47.496373584311236,107.5918641844874
211,VEHICLE,160,10,2,57.34613220013061,24.481335995229742,48.916122442683154,150.47241073610832
212,VEHICLE,135,15,3,49.0890063477044,12.951425193220711,38.513968685276296,112.2434710664558
213,VEHICLE,130,10,2,85.30142537995751,81.3420552436217,34.95533372017478,122.73677985603724
214,VEHICLE,155,15,3,78.51427764340252,64.04216728484607,19.173606534664486,97.37310440196734
215,EDGE,135,50,1,51.71944497135537,77.54431995064688,31.205565877627713,122.89571526150888
216,VEHICLE,165,10,1,77.98568115030172,24.689984814042912,14.555853295506006,153.13418197754913
217,EDGE,125,150,3,49.321468535623836,26.920513488945097,14.263592455535319,159.98120212827064
218,EDGE,125,150,3,77.77646260198352,74.73767752442004,22.477075311470358,120.5938826121705
219,CLOUD,125,300,3,73.65076380249259,22.315220132161013,38.2012955364909,100.24927005604344
220,EDGE,130,150,2,77.46332433240494,78.2133291823913,23.333314251084843,174.56669323072322
221,VEHICLE,155,15,3,50.07530006390826,95.38753298452741,8.346912041405002,174.0672130557934
222,EDGE,135,150,1,43.99289502543763,54.725038518526844,38.03261085639283,115.99432786459025
223,EDGE,125,50,3,57.17750597474799,10.075231190679801,10.713716821669294,121.24444106166607
224,CLOUD,130,300,2,62.80336432724571,49.921073778745296,44.281713449723235,104.1991999391274
225,VEHICLE,160,15,2,66.52970620684141,31.548812682394768,28.83118982718964,163.45718937255123
226,CLOUD,105,300,3,37.60948129317863,31.133215421246508,22.567552976782192,166.68184210532388
227,EDGE,130,150,2,94.99112249884985,32.21001651917251,20.686235990555556,112.95091818597197
228,EDGE,125,150,3,87.41909318978537,38.15711294559143,26.724385105988144,133.98836285680338
229,VEHICLE,165,15,1,63.06750112186681,30.84672721291782,8.064087221755303,96.99271326157069
230,VEHICLE,160,10,2,79.28556342586509,67.37310529017643,41.61132178463418,97.53714962593384
231,VEHICLE,130,10,2,90.77853732025113,32.623948577758526,45.908957009919625,100.25796669906269
232,VEHICLE,155,15,3,37.70127760359656,49.030691544335475,26.804598194892414,145.3732570457478
233,EDGE,125,50,3,52.95941882819151,51.668610455269665,31.349007618253523,82.93326783189593
234,CLOUD,135,300,1,61.234385916371764,64.44259689908668,37.604428738676425,89.01533087895632
235,VEHICLE,160,15,2,40.17124693611552,45.96484848607614,27.339303987955766,71.27821447853603
236,VEHICLE,155,10,3,63.95828663803831,30.82944053303911,9.465553706339325,103.1565431493664
237,EDGE,130,150,2,56.799692265724715,22.762364342868636,34.4799044038658,80.5656578623888
238,VEHICLE,130,15,2,92.89340793252194,89.9985086531573,45.17319436324552,136.51055715837776
239,VEHICLE,135,15,3,59.595120564031134,17.05342636888537,15.415766279960994,77.7433285816256
240,EDGE,135,150,1,54.44070947034761,15.129888540226593,39.98588630296803,87.90807361593515
241,VEHICLE,165,15,1,73.15250596236856,81.68240294423805,8.877360726539195,101.14861245526387
242,EDGE,110,150,2,45.274094566252714,55.48261507875022,44.724809226133175,103.31901786430302
243,VEHICLE,135,10,1,94.04424958512676,97.38714581372764,13.965079095521661,99.64528049425927
244,EDGE,125,50,3,87.17898002240435,27.3007207402233,29.770055282593646,122.90876633116422
245,VEHICLE,160,15,2,83.36081672095828,77.28421058592998,37.59718963346752,119.02621000653781
246,VEHICLE,160,15,2,72.9526594012811,39.604401976845985,40.59417541253444,147.38561157935112
247,VEHICLE,165,10,1,79.68905986742004,42.68997291413775,7.542314109164341,143.91542986846576
248,CLOUD,125,300,3,46.92499185119689,88.160318711258,9.792687711859589,137.45956328179017
249,VEHICLE,160,15,2,59.9337376642912,79.56373559891333,7.34646914577406,157.27288805552485
250,EDGE,110,50,2,41.75905620587589,54.60982655385109,40.39191641235994,132.49156811360382
251,VEHICLE,145,15,1,58.4902399988311,15.781750815153332,23.168388410600464,114.88743478472131
252,CLOUD,125,300,3,57.11060784464447,64.49702171408373,20.677925325001098,101.79875384022675
253,CLOUD,135,300,1,50.125653491803085,69.3343620932551,23.382335692403696,125.19464191333391
254,CLOUD,125,300,3,67.191756340018,24.53596148647972,27.10659740729531,76.2554914659305
255,VEHICLE,160,10,2,38.0475458625718,31.443049400793637,44.411774111388155,97.28548786110937
256,EDGE,135,50,1,55.28352451384755,93.53189802944405,17.977986605487086,135.80263099594794
257,CLOUD,135,300,1,74.35942234721185,41.29778849633482,44.89039622237012,60.78750305715857
258,VEHICLE,155,10,3,69.86129663211864,59.330141048540845,15.838841275547244,161.50481096090428
259,EDGE,135,50,1,78.76727375098494,29.91067961481003,26.508901489902314,99.37982265983788
260,CLOUD,130,300,2,83.54426375672384,67.73027790909877,7.002175880391457,133.88669981178475
261,CLOUD,125,300,3,56.18237858029655,51.78282514717408,46.77893919866841,141.6123374022227
262,EDGE,115,50,1,48.83349016189628,49.56181849178948,44.705044827218,178.54745019445602
263,EDGE,105,150,3,87.24408460443782,63.75475263380633,45.81728532455331,116.89592708227495
264,VEHICLE,140,15,2,72.76207649306954,13.396897969018308,14.177389204295766,121.0930235391986
265,VEHICLE,160,15,2,53.112715798116994,21.363839619765695,39.34283458124578,128.16184750132112
266,CLOUD,125,300,3,85.56638905400368,15.709852135169797,20.406226206716518,127.9386303438432
267,EDGE,135,150,1,78.67356250712434,61.47623651375014,9.77962858738237,148.9492883902289
268,VEHICLE,160,10,2,31.95249708360511,69.23775520542003,47.17295553705155,60.13120806237219
269,EDGE,135,150,1,52.46504139752533,28.049013860551433,8.558175872743396,155.77858167626528
270,EDGE,130,50,2,89.04096438452297,81.47806296844179,19.26463976875224,139.84770138793465
271,EDGE,125,150,3,62.066539682925224,27.680144298649566,9.906099619376498,125.45979395788896
272,CLOUD,115,300,1,92.35783751151189,20.250838361922618,17.053982203495586,161.23734186118838
273,EDGE,135,150,1,60.59290504637693,32.60567234267867,8.034231172445233,135.51275933290967
274,CLOUD,125,300,3,59.93678589955828,17.10018676911947,23.128150427912665,121.08029140314923
275,VEHICLE,155,10,3,45.155153950620715,86.0859419752781,24.650770739056934,138.29076464345766
276,EDGE,130,150,2,38.48475349398554,31.829177720342294,13.754127343386845,90.18562265634229
277,CLOUD,125,300,3,79.52425186774599,10.9943773404553,21.35255456104031,130.23447899814937
278,CLOUD,135,300,1,61.80303144932404,96.80183948433417,32.420369393484314,73.55054533830489
279,EDGE,125,150,3,70.44104610598157,24.908849983389615,17.2914666666364,88.28719565467642
280,VEHICLE,165,10,1,70.08868083942717,53.59746813325939,19.392805664570815,60.56699792270514
281,VEHICLE,160,10,2,66.80763220013446,97.17375535159825,44.51759210678333,77.93919055749659
282,EDGE,110,50,2,45.832163697919675,29.90402347625345,43.96092033570623,85.97885891778161
283,EDGE,130,150,2,32.57437398805787,18.312270142374846,32.110611251579044,60.20878331821234
284,EDGE,130,150,2,79.7170381647671,30.417226802074694,8.46086669482397,157.12920220111081
285,EDGE,135,50,1,84.14573281632468,36.154351437533464,26.031539905924806,101.32147889024166
286,EDGE,135,50,1,55.137787515243446,29.43628263806798,22.244768536410366,84.53003106608726
287,EDGE,115,150,1,70.19914410582075,21.513572322775836,43.50796567891079,70.87783262362065
288,EDGE,125,150,3,48.5735306554298,82.29186967919844,17.77179773612064,130.6838372117524
289,EDGE,125,50,3,93.25189892880198,41.96985065156572,18.59112698247926,64.72078218438803
290,VEHICLE,160,10,2,84.75590698261263,97.45546196674297,47.241500799662134,150.58993823461472
291,VEHICLE,155,10,3,30.359595054403776,40.95323690409823,24.855814212744633,172.41582744362637
292,VEHICLE,160,10,2,39.408975918942296,94.76002138429477,31.866988039606692,84.25882136793979
293,EDGE,130,50,2,36.47143140550307,92.86762006323025,36.50983746906496,123.68742100783163
294,EDGE,135,150,1,68.52507808578713,71.3771459526579,38.06869513593207,73.1549891690481
295,CLOUD,125,300,3,61.89012985127667,70.35785116689905,9.619860662578905,94.24805306584003
296,EDGE,115,150,1,48.12035656587543,68.74681360792867,44.488930793808784,112.15380228693928
297,EDGE,130,50,2,48.885908370065636,62.8063787024241,17.62033993398289,144.3424542181429
298,CLOUD,135,300,1,90.96096837598756,19.40702026464608,18.990755971441246,88.96029386377995
299,VEHICLE,160,15,2,59.68445012289527,90.26205739004159,38.037317184991785,146.9508451944812
300,VEHICLE,160,10,2,55.80164090686239,94.46306641415428,26.376611714519015,81.25785865007478
301,VEHICLE,110,15,2,86.86241988100004,17.98895541791226,7.77938633833956,129.26696009359864
302,CLOUD,125,300,3,80.53668621149534,35.105579043849175,11.545489176756213,123.35970588817166
