step,vehicle_id,speed,position_x,position_y,traffic_density,network_quality,battery,task_type,priority,latency_requirement,task_size,decision,timestamp
13,veh5,13.95,72.98,0.0,MEDIUM,GOOD,43.56,route_planning,7,97,69,EDGE,2026-06-23 00:01:30
13,veh6,10.49,37.38,0.0,MEDIUM,MODERATE,90.31,route_planning,4,112,80,CLOUD,2026-06-23 00:01:30
13,veh7,12.93,5.1,0.0,MEDIUM,GOOD,83.74,obstacle_detection,8,18,34,VEHICLE,2026-06-23 00:01:30
14,veh1,14.61,203.17,0.0,MEDIUM,GOOD,76.86,traffic_sign_recognition,7,54,50,EDGE,2026-06-23 00:01:30
14,veh2,12.16,154.94,0.0,MEDIUM,GOOD,37.09,obstacle_detection,8,28,28,VEHICLE,2026-06-23 00:01:30
14,veh3,12.28,133.41,0.0,MEDIUM,MODERATE,87.14,obstacle_detection,10,23,16,VEHICLE,2026-06-23 00:01:30
14,veh4,12.86,111.41,0.0,MEDIUM,MODERATE,48.32,driver_behavior_analysis,5,110,68,CLOUD,2026-06-23 00:01:30
14,veh5,13.41,86.39,0.0,MEDIUM,MODERATE,79.14,route_planning,5,83,71,EDGE,2026-06-23 00:01:30
14,veh6,10.33,47.71,0.0,MEDIUM,GOOD,48.38,vehicle_diagnostics,4,112,106,EDGE,2026-06-23 00:01:30
14,veh7,13.28,18.38,0.0,MEDIUM,GOOD,93.13,vehicle_diagnostics,5,199,86,CLOUD,2026-06-23 00:01:30
15,veh1,14.32,217.5,0.0,MEDIUM,MODERATE,48.19,traffic_sign_recognition,8,32,37,EDGE,2026-06-23 00:01:30
15,veh2,12.39,167.33,0.0,MEDIUM,MODERATE,84.72,route_planning,4,117,44,CLOUD,2026-06-23 00:01:30
15,veh3,12.03,145.44,0.0,MEDIUM,MODERATE,42.77,traffic_sign_recognition,6,65,46,EDGE,2026-06-23 00:01:30
15,veh4,12.8,124.21,0.0,MEDIUM,MODERATE,40.08,vehicle_diagnostics,3,138,52,CLOUD,2026-06-23 00:01:30
15,veh5,12.94,99.34,0.0,MEDIUM,MODERATE,38.76,route_planning,6,97,90,EDGE,2026-06-23 00:01:30
15,veh6,11.3,59.01,0.0,MEDIUM,MODERATE,81.18,driver_behavior_analysis,2,103,113,CLOUD,2026-06-23 00:01:30
15,veh7,13.16,31.54,0.0,MEDIUM,GOOD,35.25,route_planning,6,95,60,EDGE,2026-06-23 00:01:30
15,veh8,12.31,5.1,0.0,MEDIUM,GOOD,92.1,driver_behavior_analysis,1,159,73,CLOUD,2026-06-23 00:01:30
16,veh1,14.53,232.02,0.0,MEDIUM,GOOD,68.26,route_planning,7,108,72,CLOUD,2026-06-23 00:01:30
16,veh2,13.0,180.33,0.0,MEDIUM,GOOD,46.53,route_planning,6,91,55,EDGE,2026-06-23 00:01:30
16,veh3,12.7,158.14,0.0,MEDIUM,MODERATE,65.36,route_planning,6,80,44,EDGE,2026-06-23 00:01:30
16,veh4,11.89,136.1,0.0,MEDIUM,GOOD,44.77,traffic_sign_recognition,6,43,45,EDGE,2026-06-23 00:01:30
16,veh5,12.91,112.25,0.0,MEDIUM,GOOD,77.31,driver_behavior_analysis,2,111,65,CLOUD,2026-06-23 00:01:30
16,veh6,11.46,70.47,0.0,MEDIUM,GOOD,69.33,obstacle_detection,10,26,19,VEHICLE,2026-06-23 00:01:30
16,veh7,13.79,45.33,0.0,MEDIUM,MODERATE,54.04,vehicle_diagnostics,3,105,80,CLOUD,2026-06-23 00:01:30
16,veh8,11.02,16.12,0.0,MEDIUM,GOOD,62.94,traffic_sign_recognition,6,51,50,EDGE,2026-06-23 00:01:30
17,veh1,14.32,246.34,0.0,MEDIUM,MODERATE,87.58,traffic_sign_recognition,8,55,32,EDGE,2026-06-23 00:01:30
17,veh2,12.59,192.92,0.0,MEDIUM,GOOD,70.91,lane_detection,8,10,21,VEHICLE,2026-06-23 00:01:30
17,veh3,13.43,171.57,0.0,MEDIUM,GOOD,42.35,lane_detection,8,23,24,VEHICLE,2026-06-23 00:01:30
17,veh4,12.57,148.67,0.0,MEDIUM,MODERATE,76.75,vehicle_diagnostics,4,173,105,CLOUD,2026-06-23 00:01:30
17,veh5,13.11,125.35,0.0,MEDIUM,MODERATE,52.22,obstacle_detection,10,25,15,VEHICLE,2026-06-23 00:01:30
17,veh6,11.31,81.77,0.0,MEDIUM,MODERATE,49.82,traffic_sign_recognition,8,37,33,EDGE,2026-06-23 00:01:30
17,veh7,13.45,58.78,0.0,MEDIUM,GOOD,56.94,vehicle_diagnostics,5,180,106,CLOUD,2026-06-23 00:01:30
17,veh8,12.2,28.32,0.0,MEDIUM,GOOD,80.19,route_planning,6,88,68,EDGE,2026-06-23 00:01:30
17,veh9,12.87,5.1,0.0,MEDIUM,GOOD,64.52,vehicle_diagnostics,1,176,101,CLOUD,2026-06-23 00:01:30
18,veh1,13.78,260.12,0.0,MEDIUM,GOOD,48.57,driver_behavior_analysis,2,163,78,EDGE,2026-06-23 00:01:30
18,veh2,12.58,205.5,0.0,MEDIUM,MODERATE,45.58,obstacle_detection,9,21,26,VEHICLE,2026-06-23 00:01:30
18,veh3,12.63,184.21,0.0,MEDIUM,MODERATE,48.32,vehicle_diagnostics,5,156,119,CLOUD,2026-06-23 00:01:30
18,veh4,13.67,162.34,0.0,MEDIUM,MODERATE,80.46,traffic_sign_recognition,7,32,35,EDGE,2026-06-23 00:01:30
18,veh5,12.73,138.09,0.0,MEDIUM,GOOD,53.6,vehicle_diagnostics,2,107,88,CLOUD,2026-06-23 00:01:30
18,veh6,10.99,92.77,0.0,MEDIUM,GOOD,55.24,driver_behavior_analysis,3,186,102,CLOUD,2026-06-23 00:01:30
18,veh7,11.9,70.68,0.0,MEDIUM,GOOD,94.51,lane_detection,10,24,28,VEHICLE,2026-06-23 00:01:30
18,veh8,11.8,40.12,0.0,MEDIUM,MODERATE,64.92,lane_detection,10,23,27,VEHICLE,2026-06-23 00:01:30
18,veh9,12.36,17.46,0.0,MEDIUM,GOOD,72.43,obstacle_detection,9,20,22,VEHICLE,2026-06-23 00:01:30
19,veh1,13.65,273.77,0.0,MEDIUM,MODERATE,52.39,vehicle_diagnostics,3,125,119,CLOUD,2026-06-23 00:01:30
19,veh10,11.9,5.1,0.0,MEDIUM,GOOD,59.59,vehicle_diagnostics,5,133,101,CLOUD,2026-06-23 00:01:30
19,veh2,12.27,217.77,0.0,MEDIUM,MODERATE,54.17,obstacle_detection,10,21,34,VEHICLE,2026-06-23 00:01:30
19,veh3,12.44,196.65,0.0,MEDIUM,MODERATE,67.49,obstacle_detection,9,24,30,VEHICLE,2026-06-23 00:01:30
19,veh4,12.74,175.08,0.0,MEDIUM,MODERATE,92.56,obstacle_detection,8,16,34,VEHICLE,2026-06-23 00:01:30
19,veh5,13.04,151.13,0.0,MEDIUM,MODERATE,77.68,driver_behavior_analysis,2,172,59,CLOUD,2026-06-23 00:01:30
19,veh6,11.51,104.28,0.0,MEDIUM,GOOD,72.03,route_planning,4,104,41,CLOUD,2026-06-23 00:01:30
19,veh7,11.8,82.48,0.0,MEDIUM,MODERATE,59.19,driver_behavior_analysis,3,186,67,CLOUD,2026-06-23 00:01:30
19,veh8,12.17,52.29,0.0,MEDIUM,MODERATE,45.57,obstacle_detection,9,16,23,VEHICLE,2026-06-23 00:01:30
19,veh9,11.78,29.24,0.0,MEDIUM,GOOD,53.44,route_planning,4,87,73,EDGE,2026-06-23 00:01:30
20,veh1,13.91,287.68,0.0,MEDIUM,GOOD,86.1,driver_behavior_analysis,1,120,65,CLOUD,2026-06-23 00:01:30
20,veh10,11.52,16.62,0.0,MEDIUM,MODERATE,75.94,obstacle_detection,10,21,28,VEHICLE,2026-06-23 00:01:30
20,veh2,11.83,229.6,0.0,MEDIUM,MODERATE,73.02,route_planning,7,80,88,EDGE,2026-06-23 00:01:30
20,veh3,12.08,208.73,0.0,MEDIUM,GOOD,56.92,route_planning,5,119,90,CLOUD,2026-06-23 00:01:30
20,veh4,12.43,187.51,0.0,MEDIUM,GOOD,81.65,driver_behavior_analysis,2,105,114,CLOUD,2026-06-23 00:01:30
20,veh5,12.93,164.06,0.0,MEDIUM,MODERATE,53.24,traffic_sign_recognition,7,35,20,EDGE,2026-06-23 00:01:30
20,veh6,10.95,115.23,0.0,MEDIUM,MODERATE,48.12,obstacle_detection,10,14,22,VEHICLE,2026-06-23 00:01:30
20,veh7,11.3,93.78,0.0,MEDIUM,MODERATE,86.51,lane_detection,9,10,33,VEHICLE,2026-06-23 00:01:30
20,veh8,11.56,63.85,0.0,MEDIUM,MODERATE,44.51,driver_behavior_analysis,2,194,114,CLOUD,2026-06-23 00:01:30
20,veh9,11.76,41.01,0.0,MEDIUM,GOOD,86.07,traffic_sign_recognition,8,36,26,EDGE,2026-06-23 00:01:30
21,veh1,14.19,301.87,0.0,MEDIUM,GOOD,89.83,traffic_sign_recognition,7,58,21,EDGE,2026-06-23 00:01:30
21,veh10,11.74,28.36,0.0,MEDIUM,MODERATE,37.47,lane_detection,10,28,15,VEHICLE,2026-06-23 00:01:30
21,veh11,12.09,5.1,0.0,MEDIUM,GOOD,41.2,route_planning,6,77,85,EDGE,2026-06-23 00:01:30
21,veh2,12.59,242.19,0.0,MEDIUM,GOOD,66.96,traffic_sign_recognition,7,55,46,EDGE,2026-06-23 00:01:30
21,veh3,11.44,220.16,0.0,MEDIUM,MODERATE,66.67,vehicle_diagnostics,5,123,64,CLOUD,2026-06-23 00:01:30
21,veh4,12.5,200.0,0.0,MEDIUM,GOOD,44.98,lane_detection,10,21,12,VEHICLE,2026-06-23 00:01:30
21,veh5,12.97,177.03,0.0,MEDIUM,GOOD,90.9,traffic_sign_recognition,8,38,36,EDGE,2026-06-23 00:01:30
21,veh6,10.68,125.91,0.0,MEDIUM,GOOD,60.4,obstacle_detection,10,22,21,VEHICLE,2026-06-23 00:01:30
21,veh7,10.93,104.72,0.0,MEDIUM,MODERATE,61.87,driver_behavior_analysis,3,123,103,CLOUD,2026-06-23 00:01:30
21,veh8,11.94,75.79,0.0,MEDIUM,MODERATE,47.25,lane_detection,9,25,34,VEHICLE,2026-06-23 00:01:30
21,veh9,11.9,52.9,0.0,MEDIUM,GOOD,52.49,vehicle_diagnostics,3,171,101,CLOUD,2026-06-23 00:01:30
22,veh1,13.8,315.67,0.0,MEDIUM,GOOD,89.11,driver_behavior_analysis,3,198,107,CLOUD,2026-06-23 00:01:30
22,veh10,10.8,39.16,0.0,MEDIUM,MODERATE,43.14,lane_detection,10,18,20,VEHICLE,2026-06-23 00:01:30
22,veh11,12.88,17.98,0.0,MEDIUM,MODERATE,70.69,lane_detection,10,26,28,VEHICLE,2026-06-23 00:01:30
22,veh2,12.85,255.04,0.0,MEDIUM,GOOD,60.36,obstacle_detection,9,13,29,VEHICLE,2026-06-23 00:01:30
22,veh3,12.09,232.25,0.0,MEDIUM,GOOD,40.36,driver_behavior_analysis,2,163,120,EDGE,2026-06-23 00:01:30
22,veh4,11.36,211.36,0.0,MEDIUM,MODERATE,40.9,vehicle_diagnostics,2,104,96,CLOUD,2026-06-23 00:01:30
22,veh5,12.86,189.89,0.0,MEDIUM,GOOD,94.72,obstacle_detection,8,22,30,VEHICLE,2026-06-23 00:01:30
22,veh6,11.49,137.4,0.0,MEDIUM,MODERATE,73.29,route_planning,6,84,86,EDGE,2026-06-23 00:01:30
22,veh7,11.18,115.89,0.0,MEDIUM,GOOD,68.34,route_planning,7,70,43,EDGE,2026-06-23 00:01:30
22,veh8,11.43,87.22,0.0,MEDIUM,GOOD,89.11,vehicle_diagnostics,2,183,119,CLOUD,2026-06-23 00:01:30
22,veh9,11.76,64.66,0.0,MEDIUM,MODERATE,80.1,traffic_sign_recognition,8,64,29,EDGE,2026-06-23 00:01:30
23,veh1,13.55,329.22,0.0,MEDIUM,MODERATE,61.87,driver_behavior_analysis,2,133,80,CLOUD,2026-06-23 00:01:30
23,veh10,11.16,50.32,0.0,MEDIUM,MODERATE,92.75,obstacle_detection,8,23,16,VEHICLE,2026-06-23 00:01:30
23,veh11,11.63,29.61,0.0,MEDIUM,GOOD,48.72,obstacle_detection,9,25,19,VEHICLE,2026-06-23 00:01:30
23,veh12,11.95,5.1,0.0,MEDIUM,MODERATE,49.21,traffic_sign_recognition,6,61,38,EDGE,2026-06-23 00:01:30
23,veh2,12.59,267.62,0.0,MEDIUM,MODERATE,74.17,vehicle_diagnostics,2,153,116,CLOUD,2026-06-23 00:01:30
23,veh3,12.76,245.01,0.0,MEDIUM,MODERATE,60.66,obstacle_detection,10,14,24,VEHICLE,2026-06-23 00:01:30
23,veh4,11.96,223.32,0.0,MEDIUM,MODERATE,48.09,route_planning,7,108,73,CLOUD,2026-06-23 00:01:30
23,veh5,11.46,201.36,0.0,MEDIUM,MODERATE,74.51,traffic_sign_recognition,7,54,49,EDGE,2026-06-23 00:01:30
23,veh6,11.18,148.58,0.0,MEDIUM,MODERATE,43.05,route_planning,4,79,71,EDGE,2026-06-23 00:01:30
23,veh7,11.83,127.73,0.0,MEDIUM,MODERATE,79.04,route_planning,4,108,42,CLOUD,2026-06-23 00:01:30
23,veh8,11.42,98.64,0.0,MEDIUM,GOOD,54.06,driver_behavior_analysis,2,153,109,CLOUD,2026-06-23 00:01:30
23,veh9,11.87,76.53,0.0,MEDIUM,MODERATE,77.16,lane_detection,10,10,20,VEHICLE,2026-06-23 00:01:30
24,veh1,13.61,342.83,0.0,MEDIUM,GOOD,35.79,vehicle_diagnostics,2,183,57,EDGE,2026-06-23 00:01:30
24,veh10,10.73,61.05,0.0,MEDIUM,GOOD,56.55,traffic_sign_recognition,8,53,43,EDGE,2026-06-23 00:01:30
24,veh11,11.62,41.23,0.0,MEDIUM,MODERATE,47.84,route_planning,5,104,59,CLOUD,2026-06-23 00:01:30
24,veh12,12.97,18.07,0.0,MEDIUM,MODERATE,81.92,vehicle_diagnostics,4,149,52,CLOUD,2026-06-23 00:01:30
24,veh2,12.2,279.82,0.0,MEDIUM,MODERATE,35.39,vehicle_diagnostics,1,183,111,CLOUD,2026-06-23 00:01:30
24,veh3,12.36,257.37,0.0,MEDIUM,GOOD,47.5,driver_behavior_analysis,2,167,118,EDGE,2026-06-23 00:01:30
24,veh4,12.01,235.33,0.0,MEDIUM,GOOD,74.64,vehicle_diagnostics,3,168,61,CLOUD,2026-06-23 00:01:30
24,veh5,12.08,213.44,0.0,MEDIUM,MODERATE,67.94,obstacle_detection,8,26,21,VEHICLE,2026-06-23 00:01:30
24,veh6,11.52,160.1,0.0,MEDIUM,GOOD,94.56,lane_detection,9,13,20,VEHICLE,2026-06-23 00:01:30
24,veh7,10.63,138.36,0.0,MEDIUM,GOOD,47.96,driver_behavior_analysis,5,175,109,EDGE,2026-06-23 00:01:30
24,veh8,11.15,109.79,0.0,MEDIUM,GOOD,92.04,route_planning,5,115,68,CLOUD,2026-06-23 00:01:30
24,veh9,11.86,88.38,0.0,MEDIUM,GOOD,44.95,driver_behavior_analysis,1,184,113,EDGE,2026-06-23 00:01:30
25,veh1,13.69,356.51,0.0,MEDIUM,GOOD,54.66,traffic_sign_recognition,7,38,23,EDGE,2026-06-23 00:01:30
25,veh10,11.37,72.41,0.0,MEDIUM,GOOD,37.2,traffic_sign_recognition,8,36,37,EDGE,2026-06-23 00:01:30
25,veh11,11.11,52.34,0.0,MEDIUM,MODERATE,83.77,driver_behavior_analysis,5,175,83,CLOUD,2026-06-23 00:01:30
25,veh12,11.86,29.93,0.0,MEDIUM,GOOD,55.57,driver_behavior_analysis,5,196,61,CLOUD,2026-06-23 00:01:30
25,veh13,11.96,5.1,0.0,MEDIUM,MODERATE,57.11,obstacle_detection,8,18,27,VEHICLE,2026-06-23 00:01:30
25,veh2,12.42,292.25,0.0,MEDIUM,GOOD,77.99,vehicle_diagnostics,1,148,108,CLOUD,2026-06-23 00:01:30
25,veh3,12.68,270.05,0.0,MEDIUM,MODERATE,78.01,driver_behavior_analysis,5,166,69,CLOUD,2026-06-23 00:01:30
25,veh4,13.09,248.42,0.0,MEDIUM,MODERATE,43.43,vehicle_diagnostics,4,197,57,CLOUD,2026-06-23 00:01:30
25,veh5,11.94,225.38,0.0,MEDIUM,GOOD,79.67,route_planning,7,116,47,CLOUD,2026-06-23 00:01:30
25,veh6,10.35,170.45,0.0,MEDIUM,MODERATE,67.42,lane_detection,10,23,25,VEHICLE,2026-06-23 00:01:30
25,veh7,12.42,150.77,0.0,MEDIUM,GOOD,50.75,traffic_sign_recognition,7,50,39,EDGE,2026-06-23 00:01:30
25,veh8,11.67,121.47,0.0,MEDIUM,MODERATE,45.48,vehicle_diagnostics,5,128,115,CLOUD,2026-06-23 00:01:30
25,veh9,10.89,99.27,0.0,MEDIUM,GOOD,48.56,obstacle_detection,8,17,16,VEHICLE,2026-06-23 00:01:30
26,veh1,13.66,370.17,0.0,MEDIUM,MODERATE,90.4,driver_behavior_analysis,4,143,54,CLOUD,2026-06-23 00:01:30
26,veh10,11.63,84.05,0.0,MEDIUM,MODERATE,79.49,route_planning,6,102,76,CLOUD,2026-06-23 00:01:30
26,veh11,11.57,63.91,0.0,MEDIUM,GOOD,70.14,route_planning,5,91,46,EDGE,2026-06-23 00:01:30
26,veh12,11.79,41.73,0.0,MEDIUM,GOOD,50.1,driver_behavior_analysis,5,114,59,CLOUD,2026-06-23 00:01:30
26,veh13,13.22,18.32,0.0,MEDIUM,MODERATE,65.98,route_planning,6,78,42,EDGE,2026-06-23 00:01:30
26,veh2,12.52,304.77,0.0,MEDIUM,MODERATE,74.57,vehicle_diagnostics,4,118,90,CLOUD,2026-06-23 00:01:30
26,veh3,11.88,281.93,0.0,MEDIUM,GOOD,78.98,lane_detection,8,30,12,VEHICLE,2026-06-23 00:01:30
26,veh4,12.53,260.94,0.0,MEDIUM,MODERATE,44.12,driver_behavior_analysis,4,144,51,CLOUD,2026-06-23 00:01:30
26,veh5,12.58,237.97,0.0,MEDIUM,MODERATE,82.14,vehicle_diagnostics,1,148,83,CLOUD,2026-06-23 00:01:30
26,veh6,10.52,180.98,0.0,MEDIUM,MODERATE,87.14,lane_detection,8,25,33,VEHICLE,2026-06-23 00:01:30
26,veh7,10.36,161.13,0.0,MEDIUM,MODERATE,44.58,route_planning,6,73,51,EDGE,2026-06-23 00:01:30
26,veh8,11.21,132.68,0.0,MEDIUM,MODERATE,88.2,driver_behavior_analysis,4,195,88,CLOUD,2026-06-23 00:01:30
26,veh9,12.25,111.52,0.0,MEDIUM,GOOD,38.31,lane_detection,9,12,33,VEHICLE,2026-06-23 00:01:30
27,veh1,13.78,383.96,0.0,MEDIUM,MODERATE,81.14,traffic_sign_recognition,7,31,39,EDGE,2026-06-23 00:01:30
27,veh10,11.78,95.82,0.0,MEDIUM,MODERATE,80.96,route_planning,5,101,64,CLOUD,2026-06-23 00:01:30
27,veh11,11.67,75.58,0.0,MEDIUM,MODERATE,80.54,route_planning,7,102,80,CLOUD,2026-06-23 00:01:30
27,veh12,12.31,54.04,0.0,MEDIUM,GOOD,64.84,route_planning,4,96,87,EDGE,2026-06-23 00:01:30
27,veh13,12.91,31.23,0.0,MEDIUM,MODERATE,68.9,route_planning,7,111,54,CLOUD,2026-06-23 00:01:30
27,veh14,12.11,5.1,0.0,MEDIUM,GOOD,49.53,driver_behavior_analysis,3,171,60,EDGE,2026-06-23 00:01:30
27,veh2,12.46,317.22,0.0,MEDIUM,GOOD,57.02,lane_detection,8,14,25,VEHICLE,2026-06-23 00:01:30
27,veh3,12.98,294.91,0.0,MEDIUM,GOOD,60.21,driver_behavior_analysis,1,176,101,CLOUD,2026-06-23 00:01:30
27,veh4,11.38,272.32,0.0,MEDIUM,MODERATE,52.24,vehicle_diagnostics,5,172,91,CLOUD,2026-06-23 00:01:30
27,veh5,13.3,251.27,0.0,MEDIUM,GOOD,86.5,driver_behavior_analysis,3,195,103,CLOUD,2026-06-23 00:01:30
27,veh6,10.79,191.76,0.0,MEDIUM,GOOD,54.97,obstacle_detection,8,27,17,VEHICLE,2026-06-23 00:01:30
27,veh7,10.96,172.09,0.0,MEDIUM,MODERATE,86.25,lane_detection,8,17,34,VEHICLE,2026-06-23 00:01:30
27,veh8,11.28,143.96,0.0,MEDIUM,GOOD,47.12,driver_behavior_analysis,2,130,98,EDGE,2026-06-23 00:01:30
27,veh9,11.88,123.4,0.0,MEDIUM,GOOD,62.07,obstacle_detection,10,27,14,VEHICLE,2026-06-23 00:01:30
28,veh1,13.53,397.48,0.0,HIGH,MODERATE,64.58,route_planning,6,76,68,EDGE,2026-06-23 00:01:30
28,veh10,10.71,106.53,0.0,HIGH,POOR,94.7,vehicle_diagnostics,4,170,72,EDGE,2026-06-23 00:01:30
28,veh11,11.36,86.94,0.0,HIGH,POOR,61.69,traffic_sign_recognition,7,54,27,EDGE,2026-06-23 00:01:30
