vehicle_cpu,battery,vehicle_speed,traffic_density,edge_delay,edge_bandwidth,cloud_delay,cloud_bandwidth,task_latency,task_priority,task_size,decision
47,92,94,23,7,26,82,170,15,3,25,VEHICLE
94,13,14,22,14,82,130,97,10,3,20,EDGE
66,99,102,34,35,49,96,91,300,1,5,CLOUD
44,94,101,85,28,93,170,161,10,3,20,VEHICLE
94,35,107,93,9,72,98,169,15,3,25,EDGE
54,35,49,33,30,21,168,74,50,2,15,EDGE
94,21,119,82,45,98,119,151,50,2,15,EDGE
85,54,32,69,45,22,79,82,10,3,20,VEHICLE
78,65,13,12,25,71,87,112,10,3,20,VEHICLE
94,87,112,67,22,50,114,153,300,1,5,CLOUD
57,53,45,65,28,75,160,168,50,2,15,EDGE
89,20,72,21,40,65,104,68,10,3,20,VEHICLE
66,99,83,33,29,49,179,79,150,2,10,EDGE
86,30,105,31,14,41,155,145,300,1,5,EDGE
86,89,21,35,35,78,177,181,300,1,5,EDGE
49,17,58,61,23,74,83,103,150,2,10,EDGE
40,52,73,3,45,35,116,184,15,3,25,VEHICLE
86,39,96,69,6,83,140,107,300,1,5,CLOUD
60,62,51,18,49,36,66,171,10,3,20,VEHICLE
71,26,23,12,30,67,80,60,15,3,25,VEHICLE
77,19,99,13,39,37,145,150,150,2,10,EDGE
57,92,105,61,38,92,121,155,50,2,15,EDGE
76,14,96,72,23,79,110,78,50,2,15,EDGE
71,74,49,70,42,27,63,158,10,3,20,VEHICLE
49,73,107,61,34,84,143,173,150,2,10,EDGE
42,13,116,40,42,90,98,177,50,2,15,EDGE
45,13,39,70,37,85,89,137,15,3,25,VEHICLE
67,95,52,42,13,26,102,75,300,1,5,CLOUD
75,18,79,56,12,46,144,162,50,2,15,EDGE
68,95,11,31,23,63,118,55,15,3,25,VEHICLE
44,40,66,16,35,93,80,138,10,3,20,VEHICLE
59,17,52,29,44,42,156,104,50,2,15,EDGE
61,59,95,92,32,60,70,149,15,3,25,VEHICLE
62,93,107,8,18,48,177,196,15,3,25,VEHICLE
51,90,86,8,23,22,120,139,50,2,15,EDGE
41,70,64,72,44,68,160,83,15,3,25,VEHICLE
42,14,33,90,9,31,164,106,10,3,20,EDGE
93,70,74,52,10,78,84,187,50,2,15,EDGE
88,82,54,28,26,35,126,67,50,2,15,EDGE
90,81,38,74,24,99,117,67,15,3,25,EDGE
48,13,35,60,33,96,162,71,150,2,10,EDGE
40,11,33,9,47,75,90,96,300,1,5,CLOUD
80,31,51,2,6,62,84,101,50,2,15,EDGE
67,65,85,42,11,28,79,145,50,2,15,EDGE
86,37,104,47,45,22,157,192,50,2,15,EDGE
84,59,56,67,24,73,113,195,10,3,20,VEHICLE
66,79,36,6,22,85,90,81,15,3,25,VEHICLE
60,23,68,61,23,36,148,80,300,1,5,CLOUD
61,99,9,98,44,23,172,170,50,2,15,EDGE
55,81,2,59,32,32,80,93,300,1,5,CLOUD
41,12,39,35,11,84,145,96,15,3,25,EDGE
68,66,99,46,30,64,73,184,10,3,20,VEHICLE
78,69,32,78,36,53,100,171,50,2,15,EDGE
92,30,89,23,9,61,142,60,50,2,15,EDGE
60,26,70,39,17,93,155,165,50,2,15,EDGE
78,96,13,3,30,55,111,186,150,2,10,EDGE
47,96,80,50,22,50,93,183,50,2,15,EDGE
46,69,34,7,6,59,95,191,50,2,15,EDGE
75,75,19,93,13,96,76,86,10,3,20,VEHICLE
93,14,20,72,42,79,75,116,150,2,10,EDGE
58,68,58,56,39,75,146,56,150,2,10,EDGE
56,16,117,63,14,54,71,86,50,2,15,EDGE
68,50,61,27,33,48,63,129,15,3,25,VEHICLE
49,24,79,77,17,100,89,109,300,1,5,CLOUD
56,94,51,86,9,85,116,144,15,3,25,VEHICLE
68,29,86,7,38,59,128,183,15,3,25,VEHICLE
68,46,8,63,42,85,146,194,150,2,10,EDGE
63,59,34,5,29,24,134,132,10,3,20,VEHICLE
60,84,51,43,39,93,146,163,50,2,15,EDGE
76,15,8,70,30,64,61,64,50,2,15,EDGE
55,19,49,90,47,70,137,193,150,2,10,EDGE
84,100,52,19,18,61,160,106,150,2,10,EDGE
75,76,68,98,24,23,91,111,50,2,15,EDGE
67,31,91,7,12,35,153,50,50,2,15,EDGE
94,27,32,11,20,94,95,50,50,2,15,EDGE
83,39,77,48,10,80,63,63,15,3,25,VEHICLE
67,36,66,8,35,49,87,109,50,2,15,EDGE
76,43,35,76,14,80,170,151,10,3,20,VEHICLE
91,16,51,1,47,72,108,146,10,3,20,VEHICLE
84,78,32,46,25,27,153,175,150,2,10,EDGE
90,50,110,96,17,29,125,70,50,2,15,EDGE
51,14,18,96,47,31,169,117,10,3,20,VEHICLE
62,82,21,72,50,95,110,110,10,3,20,VEHICLE
62,85,27,55,30,50,171,114,300,1,5,EDGE
48,86,53,15,11,38,133,164,15,3,25,VEHICLE
85,91,110,49,37,59,97,66,50,2,15,EDGE
49,24,20,55,27,53,129,197,50,2,15,EDGE
83,83,7,19,10,84,173,181,300,1,5,EDGE
60,32,112,90,41,83,104,122,150,2,10,EDGE
48,28,62,48,8,68,67,116,10,3,20,VEHICLE
76,91,23,19,23,35,162,165,150,2,10,EDGE
76,21,12,17,33,78,158,57,10,3,20,VEHICLE
85,19,99,67,28,98,113,144,150,2,10,EDGE
85,93,86,12,33,53,78,84,50,2,15,EDGE
79,87,50,45,18,63,61,51,300,1,5,CLOUD
77,53,81,20,20,70,107,118,15,3,25,VEHICLE
57,33,13,73,44,31,126,138,10,3,20,VEHICLE
59,47,83,95,43,24,172,115,150,2,10,EDGE
62,93,33,9,11,59,66,80,300,1,5,CLOUD
62,10,85,47,42,85,153,152,300,1,5,EDGE
43,39,75,92,18,76,66,81,150,2,10,EDGE
67,36,15,97,35,36,87,66,15,3,25,VEHICLE
42,88,68,97,26,25,154,97,10,3,20,VEHICLE
85,49,29,86,41,54,158,192,150,2,10,EDGE
81,18,99,7,29,58,167,76,10,3,20,VEHICLE
68,56,47,53,9,22,172,105,300,1,5,EDGE
63,80,69,97,50,81,83,131,50,2,15,CLOUD
94,57,44,27,42,37,96,184,300,1,5,CLOUD
45,81,6,29,21,96,157,56,15,3,25,VEHICLE
52,69,69,57,10,36,83,102,10,3,20,VEHICLE
69,34,57,53,39,44,109,177,300,1,5,CLOUD
53,80,98,55,43,95,81,177,50,2,15,EDGE
93,73,71,44,27,58,156,120,300,1,5,EDGE
74,85,54,54,38,73,161,102,150,2,10,EDGE
68,11,68,42,25,84,106,128,10,3,20,EDGE
65,20,113,7,15,30,81,194,50,2,15,EDGE
82,41,6,55,35,34,116,195,150,2,10,EDGE
54,55,97,50,8,23,120,190,300,1,5,CLOUD
71,83,3,80,6,95,133,165,150,2,10,EDGE
93,85,15,5,37,26,84,172,150,2,10,EDGE
52,19,65,76,42,48,120,81,50,2,15,EDGE
84,22,34,41,33,50,163,123,15,3,25,VEHICLE
53,44,98,31,40,22,110,98,15,3,25,VEHICLE
65,57,78,82,32,56,91,72,50,2,15,EDGE
92,25,84,23,22,99,90,104,150,2,10,EDGE
90,89,92,25,11,67,111,171,300,1,5,CLOUD
69,34,21,3,27,94,63,158,300,1,5,CLOUD
89,54,38,59,46,81,120,147,300,1,5,CLOUD
73,20,41,98,34,45,66,107,300,1,5,CLOUD
51,41,115,6,50,22,101,163,150,2,10,VEHICLE
71,61,120,78,20,48,67,123,150,2,10,EDGE
77,19,7,4,15,72,110,130,300,1,5,CLOUD
63,47,36,21,28,46,133,186,15,3,25,VEHICLE
51,55,39,18,43,78,118,124,10,3,20,VEHICLE
62,32,26,40,35,38,145,63,15,3,25,VEHICLE
77,48,33,8,38,49,175,145,300,1,5,EDGE
62,51,119,41,32,68,89,78,150,2,10,EDGE
84,49,22,14,40,83,61,142,10,3,20,VEHICLE
92,89,79,81,10,36,82,173,50,2,15,EDGE
89,70,63,99,24,55,120,155,150,2,10,EDGE
74,70,104,93,26,22,160,166,300,1,5,EDGE
74,53,18,18,45,96,175,100,10,3,20,VEHICLE
94,59,43,95,35,39,130,108,10,3,20,VEHICLE
90,51,109,20,21,73,132,135,150,2,10,EDGE
92,23,11,29,27,100,79,141,10,3,20,VEHICLE
48,15,5,95,48,96,169,163,50,2,15,EDGE
66,48,112,91,35,89,60,135,150,2,10,EDGE
50,70,57,100,48,42,103,89,150,2,10,CLOUD
71,34,88,85,38,69,112,158,150,2,10,EDGE
93,56,103,61,11,31,78,158,50,2,15,EDGE
86,37,102,87,11,43,103,99,50,2,15,EDGE
58,56,111,49,50,64,103,184,10,3,20,VEHICLE
49,87,115,35,7,95,84,82,10,3,20,VEHICLE
88,20,53,49,27,65,96,93,150,2,10,EDGE
68,58,4,100,47,55,69,60,50,2,15,CLOUD
95,65,109,79,25,36,107,129,10,3,20,EDGE
42,43,78,22,30,28,145,92,15,3,25,VEHICLE
76,21,24,57,49,79,142,108,50,2,15,EDGE
53,64,66,46,19,80,71,161,300,1,5,CLOUD
88,32,41,35,39,54,131,136,150,2,10,EDGE
90,30,45,33,32,48,63,182,150,2,10,EDGE
42,88,22,73,14,91,127,65,50,2,15,EDGE
68,87,104,98,49,68,158,131,50,2,15,EDGE
47,31,34,12,19,57,119,190,300,1,5,CLOUD
72,31,98,33,11,60,178,72,50,2,15,EDGE
55,52,44,92,15,70,152,87,50,2,15,EDGE
77,96,88,73,34,42,85,101,50,2,15,EDGE
49,43,91,31,16,67,169,71,150,2,10,EDGE
82,11,1,83,7,80,63,182,50,2,15,EDGE
63,32,55,54,48,100,143,74,150,2,10,EDGE
76,73,3,84,44,98,78,154,10,3,20,VEHICLE
44,72,118,57,49,96,66,185,300,1,5,CLOUD
55,95,57,20,25,60,116,135,10,3,20,VEHICLE
87,67,87,78,38,77,164,184,150,2,10,EDGE
45,92,49,31,9,90,132,89,300,1,5,CLOUD
87,63,120,44,8,100,173,86,10,3,20,EDGE
54,94,9,77,32,100,110,59,15,3,25,VEHICLE
70,11,46,83,12,87,155,97,50,2,15,EDGE
57,93,91,83,30,32,112,86,50,2,15,EDGE
57,87,7,29,26,69,152,117,150,2,10,EDGE
85,44,73,99,31,86,175,102,15,3,25,VEHICLE
43,63,120,92,28,36,68,184,50,2,15,EDGE
53,42,10,97,10,98,145,154,15,3,25,VEHICLE
46,56,71,49,23,70,91,174,150,2,10,EDGE
82,96,16,86,24,66,133,138,300,1,5,CLOUD
90,62,30,10,19,75,139,128,150,2,10,EDGE
43,17,5,55,5,91,73,148,10,3,20,EDGE
50,71,101,76,38,73,155,197,15,3,25,VEHICLE
54,50,21,54,47,40,170,130,15,3,25,VEHICLE
58,70,30,91,9,26,142,60,150,2,10,EDGE
86,83,55,66,46,100,102,131,150,2,10,CLOUD
61,73,41,61,33,84,103,168,10,3,20,VEHICLE
94,56,117,30,46,49,160,178,10,3,20,VEHICLE
83,25,47,39,11,51,112,62,300,1,5,CLOUD
71,74,43,100,7,73,72,91,10,3,20,VEHICLE
60,40,67,32,49,58,171,179,10,3,20,VEHICLE
49,89,56,96,44,53,138,198,50,2,15,EDGE
70,82,23,30,15,46,154,185,15,3,25,VEHICLE
73,56,1,39,25,81,88,145,50,2,15,EDGE
48,58,56,77,48,60,68,151,50,2,15,CLOUD
90,67,117,36,29,62,130,87,15,3,25,VEHICLE
54,18,1,31,11,21,170,92,50,2,15,EDGE
78,13,72,94,26,23,88,73,15,3,25,VEHICLE
67,26,2,28,39,75,88,155,50,2,15,EDGE
48,41,30,56,29,79,156,166,150,2,10,EDGE
47,25,22,47,37,22,176,168,150,2,10,EDGE
67,77,66,54,14,31,173,141,15,3,25,VEHICLE
54,37,23,83,32,45,71,97,10,3,20,VEHICLE
65,45,29,27,31,47,154,142,15,3,25,VEHICLE
88,30,32,30,9,53,117,187,50,2,15,EDGE
94,21,31,6,36,54,117,110,10,3,20,VEHICLE
46,25,20,75,41,50,106,62,300,1,5,CLOUD
61,69,68,29,34,66,88,75,300,1,5,CLOUD
63,54,115,91,30,72,74,198,10,3,20,VEHICLE
53,40,81,93,22,85,113,120,10,3,20,VEHICLE
44,22,49,11,48,66,75,104,300,1,5,CLOUD
93,30,14,96,15,80,111,178,50,2,15,EDGE
75,96,85,33,47,57,119,183,300,1,5,CLOUD
61,44,6,7,39,90,83,102,15,3,25,VEHICLE
41,85,80,86,21,100,163,69,50,2,15,EDGE
70,11,17,4,39,41,152,174,300,1,5,EDGE
65,89,110,38,28,77,135,150,50,2,15,EDGE
82,63,106,19,11,48,86,61,15,3,25,VEHICLE
64,98,52,88,14,67,163,84,15,3,25,VEHICLE
64,47,57,68,9,84,92,69,300,1,5,CLOUD
65,58,27,65,15,26,73,60,10,3,20,VEHICLE
56,64,14,18,40,77,118,92,50,2,15,EDGE
60,86,68,54,12,29,110,58,150,2,10,EDGE
68,55,61,93,49,44,69,112,10,3,20,VEHICLE
55,67,110,83,24,42,117,146,150,2,10,EDGE
50,93,97,2,41,63,71,63,50,2,15,EDGE
87,64,62,1,10,30,156,199,300,1,5,EDGE
44,43,92,60,17,35,123,135,50,2,15,EDGE
81,34,107,9,15,30,123,130,50,2,15,EDGE
56,96,61,24,23,72,94,172,10,3,20,VEHICLE
42,32,52,57,42,73,156,68,10,3,20,VEHICLE
68,19,120,52,29,60,63,76,300,1,5,CLOUD
56,44,93,26,16,47,80,79,15,3,25,VEHICLE
81,13,19,44,8,41,80,52,15,3,25,EDGE
65,90,56,50,45,76,158,172,150,2,10,EDGE
76,76,30,13,27,44,165,87,10,3,20,VEHICLE
73,33,93,65,36,61,63,66,15,3,25,VEHICLE
41,73,33,17,21,55,89,137,10,3,20,VEHICLE
51,41,19,52,24,65,148,179,15,3,25,VEHICLE
51,62,45,97,50,41,137,197,10,3,20,VEHICLE
82,57,44,13,7,30,179,194,10,3,20,VEHICLE
74,37,82,17,27,41,128,185,150,2,10,EDGE
59,66,29,85,21,61,64,92,300,1,5,CLOUD
95,94,45,71,44,56,156,146,300,1,5,EDGE
89,85,81,79,50,43,133,194,50,2,15,EDGE
49,95,79,99,40,77,138,95,10,3,20,VEHICLE
72,63,93,15,24,28,140,145,15,3,25,VEHICLE
48,33,54,40,39,39,156,198,50,2,15,EDGE
55,72,22,41,23,53,177,167,150,2,10,EDGE
76,90,2,99,14,78,160,64,150,2,10,EDGE
72,83,11,34,37,36,77,158,50,2,15,EDGE
44,70,68,48,27,83,143,160,300,1,5,CLOUD
87,39,25,52,19,62,71,143,10,3,20,VEHICLE
91,49,47,27,32,61,71,93,50,2,15,EDGE
41,97,34,38,48,62,157,93,50,2,15,VEHICLE
47,90,69,98,43,48,133,129,300,1,5,CLOUD
91,82,45,10,38,34,83,145,150,2,10,EDGE
61,77,76,54,10,94,145,131,15,3,25,VEHICLE
75,62,56,60,8,98,68,195,10,3,20,VEHICLE
50,33,93,9,38,82,101,132,50,2,15,EDGE
73,79,116,14,11,65,60,144,10,3,20,VEHICLE
86,29,61,90,40,57,166,66,10,3,20,VEHICLE
89,47,84,38,38,70,176,106,10,3,20,VEHICLE
88,19,70,86,23,59,132,63,10,3,20,EDGE
47,15,22,72,8,32,110,110,15,3,25,EDGE
73,63,112,38,34,65,177,196,50,2,15,EDGE
79,35,77,28,43,28,172,53,300,1,5,EDGE
93,76,118,24,14,82,77,200,300,1,5,CLOUD
80,60,64,7,29,44,154,178,15,3,25,VEHICLE
63,100,52,40,49,44,160,168,10,3,20,VEHICLE
87,54,84,96,23,69,72,105,300,1,5,CLOUD
61,73,18,51,22,90,125,86,15,3,25,VEHICLE
80,36,11,38,10,95,93,154,150,2,10,EDGE
61,79,114,22,10,59,78,193,150,2,10,EDGE
41,74,115,68,13,96,86,160,300,1,5,CLOUD
58,51,96,58,5,92,152,130,300,1,5,EDGE
74,40,66,92,12,30,161,139,300,1,5,EDGE
57,64,120,1,8,69,107,127,300,1,5,CLOUD
91,37,38,25,30,63,107,151,15,3,25,VEHICLE
73,69,100,33,21,71,157,163,300,1,5,EDGE
85,35,83,12,45,31,117,144,300,1,5,CLOUD
79,35,71,35,14,64,179,136,15,3,25,VEHICLE
78,49,36,16,21,45,125,167,15,3,25,VEHICLE
50,97,64,27,43,66,100,144,300,1,5,CLOUD
45,41,100,21,19,54,98,169,15,3,25,VEHICLE
40,12,113,91,21,66,178,89,15,3,25,EDGE
41,33,63,98,45,56,118,133,300,1,5,CLOUD
87,61,8,78,28,41,135,181,150,2,10,EDGE
48,77,45,13,46,44,108,190,300,1,5,CLOUD
75,51,68,27,8,55,92,70,150,2,10,EDGE
91,80,38,41,26,84,121,179,15,3,25,VEHICLE
90,58,41,57,50,100,108,79,300,1,5,CLOUD
71,41,66,21,12,32,128,131,15,3,25,VEHICLE
76,51,99,60,13,32,115,144,50,2,15,EDGE
90,15,68,76,14,54,62,56,300,1,5,CLOUD
69,38,11,30,8,76,102,144,150,2,10,EDGE
42,12,51,45,27,55,176,110,150,2,10,EDGE
72,74,33,57,27,60,60,146,150,2,10,EDGE
48,57,44,91,31,35,66,114,10,3,20,VEHICLE
68,32,33,11,39,23,85,139,15,3,25,VEHICLE
62,19,96,20,6,51,129,195,15,3,25,VEHICLE
41,65,38,86,11,71,110,129,15,3,25,VEHICLE
78,55,54,9,37,67,104,56,15,3,25,VEHICLE
79,74,103,73,24,43,159,72,300,1,5,EDGE
84,62,77,64,46,38,75,142,10,3,20,VEHICLE
95,95,24,60,48,28,88,167,150,2,10,CLOUD
75,97,26,92,32,86,133,55,300,1,5,CLOUD
63,88,107,4,15,82,164,92,300,1,5,EDGE
46,19,53,8,49,73,167,126,50,2,15,EDGE
86,57,117,96,41,55,63,153,150,2,10,EDGE
71,11,3,2,19,56,60,177,300,1,5,CLOUD
77,87,63,27,40,59,113,168,150,2,10,EDGE
69,56,115,2,20,30,134,188,300,1,5,CLOUD
55,33,107,28,23,86,154,191,300,1,5,EDGE
46,100,36,61,44,25,175,63,15,3,25,VEHICLE
61,71,54,99,15,20,104,147,15,3,25,VEHICLE
69,49,97,65,21,30,79,126,150,2,10,EDGE
43,21,108,17,7,25,90,175,150,2,10,EDGE
52,64,47,83,22,45,69,179,10,3,20,VEHICLE
91,19,0,9,21,21,96,105,150,2,10,EDGE
93,27,44,34,48,58,121,176,10,3,20,VEHICLE
61,11,88,98,12,100,173,131,150,2,10,EDGE
42,52,119,86,40,83,169,81,300,1,5,EDGE
91,38,118,21,40,86,119,106,50,2,15,EDGE
49,40,52,11,39,85,131,158,300,1,5,CLOUD
42,25,70,59,23,50,99,152,150,2,10,EDGE
50,46,96,62,46,71,159,98,150,2,10,EDGE
59,36,36,39,43,64,131,177,300,1,5,CLOUD
88,74,15,68,9,31,101,155,150,2,10,EDGE
67,93,17,31,40,80,150,95,15,3,25,VEHICLE
80,45,13,83,42,32,161,141,10,3,20,VEHICLE
50,77,39,77,35,28,178,158,15,3,25,VEHICLE
82,94,34,91,6,79,178,60,10,3,20,VEHICLE
57,22,64,21,29,56,116,167,300,1,5,CLOUD
43,47,51,13,24,42,158,50,10,3,20,VEHICLE
85,53,11,59,30,57,68,65,300,1,5,CLOUD
48,61,51,2,9,38,99,104,10,3,20,VEHICLE
95,19,67,85,22,27,115,69,10,3,20,EDGE
77,83,116,47,13,44,161,171,50,2,15,EDGE
82,29,15,39,40,88,135,111,10,3,20,VEHICLE
55,64,108,93,34,38,164,73,10,3,20,VEHICLE
46,15,7,54,33,63,88,163,150,2,10,EDGE
93,55,12,61,23,27,60,127,150,2,10,EDGE
76,51,98,19,14,26,101,55,50,2,15,EDGE
72,20,115,21,49,76,113,172,300,1,5,CLOUD
82,85,11,34,38,91,166,127,15,3,25,VEHICLE
77,82,19,96,26,82,69,53,15,3,25,VEHICLE
92,86,45,34,42,20,66,55,300,1,5,CLOUD
80,12,16,74,23,83,130,196,150,2,10,EDGE
83,72,41,43,39,21,116,175,50,2,15,EDGE
91,77,34,26,43,89,94,191,10,3,20,VEHICLE
73,90,66,33,33,90,136,64,15,3,25,VEHICLE
73,73,19,8,15,97,65,137,15,3,25,VEHICLE
57,63,83,4,16,20,100,191,300,1,5,CLOUD
95,51,104,24,20,40,107,131,150,2,10,EDGE
75,83,21,55,20,20,159,123,300,1,5,EDGE
45,72,7,50,35,50,138,72,10,3,20,VEHICLE
84,60,96,25,42,65,94,160,15,3,25,VEHICLE
67,28,68,99,12,31,66,194,50,2,15,EDGE
86,15,90,82,30,83,121,117,150,2,10,EDGE
49,80,104,42,14,27,64,192,300,1,5,CLOUD
45,73,54,39,23,89,105,77,300,1,5,CLOUD
53,92,6,95,39,63,167,116,300,1,5,EDGE
93,73,84,99,28,47,158,80,50,2,15,EDGE
79,13,42,97,48,67,154,190,50,2,15,EDGE
63,24,46,17,30,82,98,108,10,3,20,VEHICLE
78,49,12,16,10,57,60,136,15,3,25,VEHICLE
48,74,86,89,22,60,178,197,15,3,25,VEHICLE
93,18,34,53,6,92,168,160,50,2,15,EDGE
52,25,31,16,22,66,76,181,150,2,10,EDGE
40,87,68,58,33,97,156,104,15,3,25,VEHICLE
82,83,14,37,19,35,176,135,300,1,5,EDGE
91,30,28,75,20,56,88,61,50,2,15,EDGE
66,65,27,86,36,96,88,138,150,2,10,EDGE
64,37,8,16,19,57,127,119,50,2,15,EDGE
56,83,12,50,17,41,180,55,300,1,5,EDGE
59,21,104,84,37,86,80,117,15,3,25,VEHICLE
41,47,13,25,11,82,169,163,10,3,20,VEHICLE
71,86,104,55,32,46,130,170,150,2,10,EDGE
41,56,111,42,30,74,137,59,150,2,10,EDGE
68,68,83,54,16,80,119,151,15,3,25,VEHICLE
50,44,109,83,35,59,111,150,15,3,25,VEHICLE
79,53,104,54,30,92,67,71,150,2,10,EDGE
84,81,113,66,43,79,75,63,300,1,5,CLOUD
40,28,47,8,33,62,167,50,10,3,20,VEHICLE
70,92,25,98,25,77,86,90,50,2,15,EDGE
41,72,52,98,14,82,105,107,300,1,5,CLOUD
49,26,33,48,24,22,164,179,10,3,20,VEHICLE
87,94,44,64,27,24,130,98,150,2,10,EDGE
42,15,37,74,33,84,86,104,15,3,25,VEHICLE
77,26,28,51,19,63,157,172,15,3,25,VEHICLE
49,87,15,68,29,70,69,197,300,1,5,CLOUD
80,40,100,77,46,47,179,116,300,1,5,EDGE
92,69,12,40,15,98,110,66,150,2,10,EDGE
51,43,77,65,20,60,121,51,10,3,20,VEHICLE
92,56,100,70,8,48,84,72,10,3,20,EDGE
41,17,91,45,32,63,164,85,15,3,25,VEHICLE
48,25,0,69,9,36,61,182,150,2,10,EDGE
73,88,3,71,10,77,137,123,150,2,10,EDGE
57,48,120,20,37,34,147,143,50,2,15,EDGE
59,76,68,85,44,92,165,169,50,2,15,EDGE
75,35,22,66,37,64,89,194,150,2,10,EDGE
61,52,17,99,15,87,107,104,15,3,25,VEHICLE
55,31,48,66,43,39,161,131,10,3,20,VEHICLE
85,33,57,56,36,88,125,99,50,2,15,EDGE
73,97,60,82,15,40,85,65,150,2,10,EDGE
92,61,66,86,39,31,175,108,150,2,10,EDGE
59,57,88,87,14,92,85,200,15,3,25,VEHICLE
90,63,1,1,39,69,68,176,150,2,10,EDGE
48,54,48,48,44,23,74,166,150,2,10,EDGE
76,73,1,64,28,47,132,78,15,3,25,VEHICLE
70,15,11,35,30,21,66,147,10,3,20,VEHICLE
56,88,114,45,49,52,99,55,10,3,20,VEHICLE
93,24,72,94,34,91,72,181,15,3,25,VEHICLE
91,65,22,62,46,66,112,115,10,3,20,VEHICLE
53,90,49,89,38,62,91,78,10,3,20,VEHICLE
90,45,51,14,14,94,92,94,50,2,15,EDGE
47,26,74,58,47,32,74,174,10,3,20,VEHICLE
91,31,120,31,11,57,123,80,300,1,5,CLOUD
45,82,6,94,21,33,164,58,50,2,15,EDGE
90,21,117,91,35,69,121,89,300,1,5,CLOUD
73,31,104,45,30,31,60,57,50,2,15,EDGE
68,64,7,65,16,85,92,92,300,1,5,CLOUD
55,57,105,20,15,53,88,168,150,2,10,EDGE
65,13,92,94,48,68,167,169,10,3,20,VEHICLE
69,84,78,81,29,52,176,67,15,3,25,VEHICLE
94,22,36,60,9,89,108,56,10,3,20,EDGE
54,19,9,99,43,45,123,116,10,3,20,VEHICLE
55,94,51,93,5,77,174,194,10,3,20,VEHICLE
92,46,23,57,25,70,112,80,300,1,5,CLOUD
59,95,81,55,18,82,168,56,150,2,10,EDGE
95,32,8,41,36,50,161,181,50,2,15,EDGE
84,77,43,81,26,49,98,84,150,2,10,EDGE
82,90,70,75,18,27,155,133,10,3,20,VEHICLE
84,33,107,80,19,23,77,140,150,2,10,EDGE
54,64,85,14,23,66,164,85,150,2,10,EDGE
69,52,73,90,15,84,131,81,50,2,15,EDGE
57,77,33,81,26,61,177,98,50,2,15,EDGE
44,50,102,57,14,93,108,53,300,1,5,CLOUD
94,19,40,67,23,83,157,81,300,1,5,EDGE
87,75,53,88,33,26,81,184,150,2,10,EDGE
52,25,22,79,22,88,118,56,10,3,20,VEHICLE
94,97,30,44,38,48,95,78,50,2,15,EDGE
60,69,88,91,34,75,103,168,15,3,25,VEHICLE
