step,vehicle_id,speed,battery,traffic_density,network_quality,task_type,decision
3,veh_21,8.41,71.98,MEDIUM,POOR,lane_detection,VEHICLE
3,veh_22,6.96,87.55,MEDIUM,MODERATE,driver_behavior_analysis,EDGE
3,veh_23,8.13,28.92,MEDIUM,GOOD,traffic_sign_recognition,EDGE
3,veh_24,9.27,13.78,MEDIUM,MODERATE,traffic_sign_recognition,CLOUD
3,veh_25,16.07,13.69,LOW,MODERATE,route_planning,CLOUD
3,veh_26,6.64,63.93,MEDIUM,POOR,lane_detection,VEHICLE
3,veh_27,14.17,45.03,LOW,MODERATE,route_planning,EDGE
3,veh_28,12.97,60.47,LOW,GOOD,lane_detection,VEHICLE
3,veh_29,10.75,32.77,MEDIUM,MODERATE,obstacle_detection,VEHICLE
3,veh_30,7.75,80.64,MEDIUM,MODERATE,obstacle_detection,VEHICLE
4,veh_1,6.73,57.64,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
4,veh_2,3.17,92.09,HIGH,POOR,traffic_sign_recognition,EDGE
4,veh_3,14.12,50.36,LOW,POOR,lane_detection,VEHICLE
4,veh_4,8.06,78.4,MEDIUM,MODERATE,route_planning,CLOUD
4,veh_5,9.06,48.45,MEDIUM,GOOD,obstacle_detection,VEHICLE
4,veh_6,9.05,79.77,MEDIUM,POOR,obstacle_detection,VEHICLE
4,veh_7,14.68,86.9,LOW,MODERATE,vehicle_diagnostics,EDGE
4,veh_8,15.8,86.37,LOW,GOOD,lane_detection,VEHICLE
4,veh_9,8.67,59.95,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
4,veh_10,3.67,65.04,HIGH,MODERATE,obstacle_detection,EDGE
4,veh_11,12.07,57.44,LOW,MODERATE,driver_behavior_analysis,CLOUD
4,veh_12,10.84,73.86,MEDIUM,MODERATE,traffic_sign_recognition,EDGE
4,veh_13,4.01,27.58,HIGH,MODERATE,obstacle_detection,EDGE
4,veh_14,11.15,63.37,MEDIUM,POOR,obstacle_detection,VEHICLE
4,veh_15,16.0,16.72,LOW,MODERATE,traffic_sign_recognition,CLOUD
4,veh_16,9.63,20.98,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
4,veh_17,3.34,16.93,HIGH,GOOD,vehicle_diagnostics,CLOUD
4,veh_18,9.91,53.02,MEDIUM,GOOD,route_planning,CLOUD
4,veh_19,7.97,81.46,MEDIUM,GOOD,route_planning,EDGE
4,veh_20,4.81,93.78,HIGH,GOOD,obstacle_detection,EDGE
4,veh_21,8.01,42.71,MEDIUM,GOOD,lane_detection,VEHICLE
4,veh_22,11.98,28.15,MEDIUM,POOR,lane_detection,VEHICLE
4,veh_23,17.4,75.64,LOW,GOOD,obstacle_detection,VEHICLE
4,veh_24,9.39,75.37,MEDIUM,GOOD,traffic_sign_recognition,EDGE
4,veh_25,10.74,73.68,MEDIUM,MODERATE,lane_detection,VEHICLE
4,veh_26,3.42,12.74,HIGH,MODERATE,obstacle_detection,CLOUD
4,veh_27,10.35,90.14,MEDIUM,GOOD,lane_detection,VEHICLE
4,veh_28,5.21,24.61,HIGH,GOOD,lane_detection,EDGE
4,veh_29,6.54,34.57,MEDIUM,GOOD,driver_behavior_analysis,CLOUD
4,veh_30,16.67,76.42,LOW,MODERATE,route_planning,CLOUD
5,veh_1,5.01,73.2,HIGH,MODERATE,route_planning,EDGE
5,veh_2,7.72,60.13,MEDIUM,GOOD,lane_detection,VEHICLE
5,veh_3,14.22,48.28,LOW,POOR,driver_behavior_analysis,VEHICLE
5,veh_4,9.65,29.09,MEDIUM,GOOD,traffic_sign_recognition,EDGE
5,veh_5,8.01,10.31,MEDIUM,MODERATE,lane_detection,CLOUD
5,veh_6,9.76,49.51,MEDIUM,GOOD,traffic_sign_recognition,CLOUD
5,veh_7,5.03,80.73,HIGH,POOR,route_planning,EDGE
5,veh_8,11.87,89.31,MEDIUM,GOOD,obstacle_detection,VEHICLE
5,veh_9,12.05,11.51,LOW,MODERATE,vehicle_diagnostics,CLOUD
5,veh_10,10.56,34.35,MEDIUM,POOR,obstacle_detection,VEHICLE
5,veh_11,13.12,81.53,LOW,GOOD,obstacle_detection,VEHICLE
5,veh_12,12.8,51.63,LOW,POOR,driver_behavior_analysis,VEHICLE
5,veh_13,11.4,33.16,MEDIUM,MODERATE,driver_behavior_analysis,EDGE
5,veh_14,5.38,49.95,HIGH,MODERATE,driver_behavior_analysis,EDGE
5,veh_15,14.97,15.05,LOW,MODERATE,lane_detection,CLOUD
5,veh_16,8.88,25.08,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
5,veh_17,13.85,38.93,LOW,GOOD,vehicle_diagnostics,EDGE
5,veh_18,14.71,92.24,LOW,GOOD,driver_behavior_analysis,CLOUD
5,veh_19,13.1,72.82,LOW,MODERATE,traffic_sign_recognition,CLOUD
5,veh_20,13.03,98.44,LOW,POOR,lane_detection,VEHICLE
5,veh_21,6.37,39.57,MEDIUM,POOR,lane_detection,VEHICLE
5,veh_22,9.56,62.28,MEDIUM,MODERATE,vehicle_diagnostics,CLOUD
5,veh_23,7.49,56.01,MEDIUM,GOOD,obstacle_detection,VEHICLE
5,veh_24,15.2,60.4,LOW,POOR,vehicle_diagnostics,VEHICLE
5,veh_25,9.9,11.24,MEDIUM,POOR,vehicle_diagnostics,CLOUD
5,veh_26,5.87,68.9,HIGH,MODERATE,obstacle_detection,EDGE
5,veh_27,9.4,86.77,MEDIUM,MODERATE,driver_behavior_analysis,CLOUD
5,veh_28,17.71,51.9,LOW,POOR,route_planning,VEHICLE
5,veh_29,3.5,48.74,HIGH,MODERATE,lane_detection,EDGE
5,veh_30,6.81,43.17,MEDIUM,POOR,route_planning,VEHICLE
6,veh_1,4.46,92.99,HIGH,GOOD,vehicle_diagnostics,EDGE
6,veh_2,2.18,10.76,HIGH,POOR,driver_behavior_analysis,CLOUD
6,veh_3,11.17,35.83,MEDIUM,POOR,obstacle_detection,VEHICLE
6,veh_4,2.45,80.81,HIGH,MODERATE,traffic_sign_recognition,EDGE
6,veh_5,8.82,21.66,MEDIUM,MODERATE,obstacle_detection,VEHICLE
6,veh_6,15.73,39.33,LOW,GOOD,route_planning,EDGE
6,veh_7,7.34,82.66,MEDIUM,MODERATE,route_planning,EDGE
6,veh_8,2.1,74.16,HIGH,MODERATE,lane_detection,EDGE
6,veh_9,12.76,23.04,LOW,MODERATE,route_planning,CLOUD
6,veh_10,11.57,17.38,MEDIUM,POOR,traffic_sign_recognition,CLOUD
6,veh_11,4.18,62.78,HIGH,GOOD,traffic_sign_recognition,EDGE
6,veh_12,10.38,84.82,MEDIUM,POOR,vehicle_diagnostics,VEHICLE
6,veh_13,8.64,34.76,MEDIUM,GOOD,traffic_sign_recognition,EDGE
6,veh_14,14.99,87.01,LOW,GOOD,lane_detection,VEHICLE
6,veh_15,13.96,42.75,LOW,GOOD,route_planning,CLOUD
6,veh_16,5.36,21.82,HIGH,GOOD,route_planning,EDGE
6,veh_17,2.21,95.21,HIGH,MODERATE,vehicle_diagnostics,EDGE
6,veh_18,9.93,67.29,MEDIUM,GOOD,vehicle_diagnostics,EDGE
6,veh_19,13.25,91.98,LOW,POOR,route_planning,VEHICLE
6,veh_20,10.82,70.83,MEDIUM,POOR,route_planning,VEHICLE
6,veh_21,2.21,26.5,HIGH,MODERATE,lane_detection,EDGE
6,veh_22,16.34,17.34,LOW,MODERATE,driver_behavior_analysis,CLOUD
6,veh_23,9.13,38.94,MEDIUM,GOOD,driver_behavior_analysis,EDGE
6,veh_24,3.89,23.8,HIGH,GOOD,lane_detection,EDGE
6,veh_25,6.24,60.74,MEDIUM,POOR,obstacle_detection,VEHICLE
6,veh_26,3.56,57.4,HIGH,POOR,vehicle_diagnostics,EDGE
6,veh_27,17.9,92.76,LOW,GOOD,driver_behavior_analysis,EDGE
6,veh_28,15.59,16.73,LOW,GOOD,route_planning,CLOUD
6,veh_29,17.37,70.66,LOW,GOOD,route_planning,CLOUD
6,veh_30,8.87,69.31,MEDIUM,MODERATE,traffic_sign_recognition,CLOUD
7,veh_1,2.81,91.44,HIGH,POOR,obstacle_detection,EDGE
7,veh_2,10.41,47.62,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
7,veh_3,2.38,57.37,HIGH,GOOD,route_planning,EDGE
7,veh_4,15.54,33.59,LOW,MODERATE,driver_behavior_analysis,EDGE
7,veh_5,12.01,69.42,LOW,POOR,traffic_sign_recognition,VEHICLE
7,veh_6,11.86,98.65,MEDIUM,GOOD,vehicle_diagnostics,EDGE
7,veh_7,2.94,63.38,HIGH,POOR,vehicle_diagnostics,EDGE
7,veh_8,5.16,77.86,HIGH,MODERATE,vehicle_diagnostics,EDGE
7,veh_9,2.86,79.43,HIGH,GOOD,route_planning,EDGE
7,veh_10,12.05,92.77,LOW,MODERATE,traffic_sign_recognition,EDGE
7,veh_11,9.71,49.24,MEDIUM,GOOD,traffic_sign_recognition,CLOUD
7,veh_12,9.58,83.92,MEDIUM,MODERATE,traffic_sign_recognition,EDGE
7,veh_13,2.79,91.75,HIGH,GOOD,obstacle_detection,EDGE
7,veh_14,9.49,25.54,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
7,veh_15,15.4,49.89,LOW,POOR,driver_behavior_analysis,VEHICLE
7,veh_16,12.05,80.34,LOW,GOOD,lane_detection,VEHICLE
7,veh_17,17.05,63.95,LOW,MODERATE,route_planning,EDGE
7,veh_18,16.98,68.6,LOW,GOOD,obstacle_detection,VEHICLE
7,veh_19,6.06,32.21,MEDIUM,POOR,lane_detection,VEHICLE
7,veh_20,12.28,11.6,LOW,POOR,vehicle_diagnostics,CLOUD
7,veh_21,5.9,80.43,HIGH,GOOD,obstacle_detection,EDGE
7,veh_22,16.79,17.2,LOW,POOR,obstacle_detection,CLOUD
7,veh_23,14.32,26.16,LOW,MODERATE,traffic_sign_recognition,EDGE
7,veh_24,13.62,19.66,LOW,POOR,route_planning,CLOUD
7,veh_25,14.41,33.22,LOW,GOOD,obstacle_detection,VEHICLE
7,veh_26,11.25,50.33,MEDIUM,GOOD,route_planning,CLOUD
7,veh_27,12.96,48.48,LOW,MODERATE,route_planning,EDGE
7,veh_28,13.95,50.28,LOW,MODERATE,vehicle_diagnostics,EDGE
7,veh_29,8.45,89.93,MEDIUM,MODERATE,driver_behavior_analysis,CLOUD
7,veh_30,5.98,44.06,HIGH,POOR,traffic_sign_recognition,EDGE
8,veh_1,16.48,47.24,LOW,POOR,driver_behavior_analysis,VEHICLE
8,veh_2,6.82,36.68,MEDIUM,GOOD,vehicle_diagnostics,EDGE
8,veh_3,8.5,12.47,MEDIUM,GOOD,driver_behavior_analysis,CLOUD
8,veh_4,16.03,77.89,LOW,GOOD,lane_detection,VEHICLE
8,veh_5,7.77,85.54,MEDIUM,GOOD,lane_detection,VEHICLE
8,veh_6,2.55,72.07,HIGH,MODERATE,vehicle_diagnostics,EDGE
8,veh_7,11.65,85.42,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
8,veh_8,6.51,26.02,MEDIUM,POOR,obstacle_detection,VEHICLE
8,veh_9,8.55,22.26,MEDIUM,POOR,route_planning,VEHICLE
8,veh_10,12.69,71.8,LOW,POOR,vehicle_diagnostics,VEHICLE
8,veh_11,3.88,57.05,HIGH,MODERATE,driver_behavior_analysis,EDGE
8,veh_12,14.31,78.42,LOW,GOOD,obstacle_detection,VEHICLE
8,veh_13,5.45,50.7,HIGH,MODERATE,vehicle_diagnostics,EDGE
8,veh_14,3.08,29.58,HIGH,GOOD,vehicle_diagnostics,EDGE
8,veh_15,8.6,56.7,MEDIUM,GOOD,vehicle_diagnostics,EDGE
8,veh_16,14.41,74.78,LOW,MODERATE,traffic_sign_recognition,EDGE
8,veh_17,7.43,59.8,MEDIUM,GOOD,obstacle_detection,VEHICLE
8,veh_18,16.77,82.71,LOW,GOOD,obstacle_detection,VEHICLE
8,veh_19,15.15,75.43,LOW,MODERATE,traffic_sign_recognition,EDGE
8,veh_20,15.27,41.92,LOW,GOOD,driver_behavior_analysis,EDGE
8,veh_21,12.68,37.13,LOW,POOR,route_planning,VEHICLE
8,veh_22,4.51,80.19,HIGH,POOR,driver_behavior_analysis,EDGE
8,veh_23,2.04,51.44,HIGH,POOR,obstacle_detection,EDGE
8,veh_24,6.61,38.09,MEDIUM,GOOD,obstacle_detection,VEHICLE
8,veh_25,7.7,52.39,MEDIUM,GOOD,route_planning,CLOUD
8,veh_26,11.68,22.41,MEDIUM,GOOD,traffic_sign_recognition,EDGE
8,veh_27,11.99,51.79,MEDIUM,MODERATE,obstacle_detection,VEHICLE
8,veh_28,17.44,74.62,LOW,MODERATE,lane_detection,VEHICLE
8,veh_29,7.07,82.61,MEDIUM,MODERATE,route_planning,CLOUD
8,veh_30,5.55,13.67,HIGH,MODERATE,vehicle_diagnostics,CLOUD
9,veh_1,14.07,82.48,LOW,MODERATE,obstacle_detection,VEHICLE
9,veh_2,4.27,78.72,HIGH,POOR,lane_detection,EDGE
9,veh_3,10.47,69.93,MEDIUM,MODERATE,lane_detection,VEHICLE
9,veh_4,7.17,31.79,MEDIUM,MODERATE,vehicle_diagnostics,EDGE
9,veh_5,10.0,55.14,MEDIUM,MODERATE,vehicle_diagnostics,EDGE
9,veh_6,3.09,16.99,HIGH,GOOD,vehicle_diagnostics,CLOUD
9,veh_7,5.09,39.24,HIGH,POOR,traffic_sign_recognition,EDGE
9,veh_8,6.09,14.55,MEDIUM,GOOD,driver_behavior_analysis,CLOUD
9,veh_9,11.53,64.84,MEDIUM,MODERATE,obstacle_detection,VEHICLE
9,veh_10,15.04,46.65,LOW,MODERATE,vehicle_diagnostics,CLOUD
9,veh_11,2.62,23.36,HIGH,GOOD,route_planning,EDGE
9,veh_12,5.32,98.58,HIGH,GOOD,lane_detection,EDGE
9,veh_13,16.56,90.9,LOW,GOOD,lane_detection,VEHICLE
9,veh_14,9.29,26.42,MEDIUM,MODERATE,route_planning,CLOUD
9,veh_15,5.0,86.27,HIGH,GOOD,route_planning,EDGE
9,veh_16,10.7,28.87,MEDIUM,MODERATE,vehicle_diagnostics,CLOUD
9,veh_17,7.7,69.7,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
9,veh_18,7.27,59.98,MEDIUM,POOR,route_planning,VEHICLE
9,veh_19,16.43,26.72,LOW,MODERATE,vehicle_diagnostics,CLOUD
9,veh_20,11.79,70.17,MEDIUM,GOOD,driver_behavior_analysis,CLOUD
9,veh_21,5.94,87.94,HIGH,GOOD,lane_detection,EDGE
9,veh_22,8.66,88.85,MEDIUM,GOOD,obstacle_detection,VEHICLE
9,veh_23,7.06,86.06,MEDIUM,GOOD,vehicle_diagnostics,CLOUD
9,veh_24,3.45,23.6,HIGH,GOOD,traffic_sign_recognition,EDGE
9,veh_25,13.53,55.55,LOW,GOOD,route_planning,EDGE
9,veh_26,11.13,15.82,MEDIUM,POOR,obstacle_detection,CLOUD
9,veh_27,11.97,98.05,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
9,veh_28,2.88,31.74,HIGH,GOOD,obstacle_detection,EDGE
9,veh_29,8.1,95.0,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
9,veh_30,7.67,49.05,MEDIUM,GOOD,obstacle_detection,VEHICLE
10,veh_1,11.8,57.55,MEDIUM,GOOD,obstacle_detection,VEHICLE
10,veh_2,13.28,10.39,LOW,MODERATE,route_planning,CLOUD
10,veh_3,13.96,95.57,LOW,GOOD,route_planning,EDGE
10,veh_4,4.28,10.82,HIGH,POOR,lane_detection,CLOUD
10,veh_5,7.1,63.58,MEDIUM,MODERATE,lane_detection,VEHICLE
10,veh_6,10.16,71.78,MEDIUM,POOR,obstacle_detection,VEHICLE
10,veh_7,9.52,87.31,MEDIUM,GOOD,lane_detection,VEHICLE
10,veh_8,10.61,62.64,MEDIUM,POOR,route_planning,VEHICLE
10,veh_9,6.05,63.8,MEDIUM,MODERATE,lane_detection,VEHICLE
10,veh_10,2.48,37.22,HIGH,MODERATE,obstacle_detection,EDGE
10,veh_11,10.26,40.78,MEDIUM,MODERATE,obstacle_detection,VEHICLE
10,veh_12,14.52,71.73,LOW,POOR,lane_detection,VEHICLE
10,veh_13,8.09,81.27,MEDIUM,GOOD,driver_behavior_analysis,CLOUD
10,veh_14,9.49,46.45,MEDIUM,GOOD,vehicle_diagnostics,EDGE
10,veh_15,10.52,63.71,MEDIUM,GOOD,lane_detection,VEHICLE
10,veh_16,13.45,95.09,LOW,POOR,lane_detection,VEHICLE
10,veh_17,3.13,45.98,HIGH,GOOD,route_planning,EDGE
10,veh_18,12.93,26.24,LOW,POOR,route_planning,VEHICLE
10,veh_19,17.22,82.16,LOW,GOOD,lane_detection,VEHICLE
10,veh_20,4.39,59.26,HIGH,MODERATE,driver_behavior_analysis,EDGE
10,veh_21,10.37,48.77,MEDIUM,POOR,lane_detection,VEHICLE
10,veh_22,10.19,79.41,MEDIUM,POOR,vehicle_diagnostics,VEHICLE
10,veh_23,13.32,73.3,LOW,GOOD,obstacle_detection,VEHICLE
10,veh_24,5.5,12.62,HIGH,POOR,lane_detection,CLOUD
10,veh_25,11.62,21.35,MEDIUM,MODERATE,vehicle_diagnostics,CLOUD
10,veh_26,2.34,25.68,HIGH,POOR,obstacle_detection,EDGE
10,veh_27,17.59,93.93,LOW,POOR,route_planning,VEHICLE
10,veh_28,13.56,94.75,LOW,POOR,vehicle_diagnostics,VEHICLE
10,veh_29,15.36,66.55,LOW,POOR,obstacle_detection,VEHICLE
10,veh_30,11.7,67.31,MEDIUM,GOOD,lane_detection,VEHICLE
11,veh_1,5.55,49.01,HIGH,GOOD,obstacle_detection,EDGE
11,veh_2,15.97,86.14,LOW,GOOD,driver_behavior_analysis,EDGE
11,veh_3,16.62,76.61,LOW,MODERATE,lane_detection,VEHICLE
11,veh_4,16.22,24.11,LOW,GOOD,lane_detection,VEHICLE
11,veh_5,5.92,74.58,HIGH,POOR,route_planning,EDGE
11,veh_6,2.63,84.28,HIGH,GOOD,driver_behavior_analysis,EDGE
11,veh_7,4.06,65.38,HIGH,POOR,vehicle_diagnostics,EDGE
11,veh_8,4.91,76.65,HIGH,MODERATE,obstacle_detection,EDGE
11,veh_9,6.82,37.17,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
11,veh_10,13.46,88.91,LOW,POOR,lane_detection,VEHICLE
11,veh_11,10.9,16.0,MEDIUM,POOR,vehicle_diagnostics,CLOUD
11,veh_12,5.39,92.03,HIGH,POOR,driver_behavior_analysis,EDGE
11,veh_13,16.06,49.41,LOW,MODERATE,route_planning,EDGE
11,veh_14,4.09,31.11,HIGH,POOR,route_planning,EDGE
11,veh_15,2.12,97.22,HIGH,MODERATE,lane_detection,EDGE
11,veh_16,10.52,37.04,MEDIUM,GOOD,route_planning,EDGE
11,veh_17,10.62,79.08,MEDIUM,MODERATE,traffic_sign_recognition,EDGE
11,veh_18,10.71,61.4,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
11,veh_19,17.43,46.69,LOW,GOOD,driver_behavior_analysis,CLOUD
11,veh_20,7.57,41.64,MEDIUM,POOR,route_planning,VEHICLE
11,veh_21,11.0,89.08,MEDIUM,GOOD,driver_behavior_analysis,CLOUD
11,veh_22,15.18,97.99,LOW,POOR,traffic_sign_recognition,VEHICLE
11,veh_23,8.96,30.93,MEDIUM,GOOD,obstacle_detection,VEHICLE
11,veh_24,11.62,37.56,MEDIUM,MODERATE,traffic_sign_recognition,CLOUD
11,veh_25,10.33,62.06,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
11,veh_26,13.03,87.46,LOW,GOOD,driver_behavior_analysis,CLOUD
11,veh_27,9.01,56.26,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
11,veh_28,2.94,75.65,HIGH,GOOD,driver_behavior_analysis,EDGE
11,veh_29,17.28,42.1,LOW,GOOD,driver_behavior_analysis,CLOUD
11,veh_30,7.8,86.78,MEDIUM,MODERATE,lane_detection,VEHICLE
12,veh_1,11.02,44.68,MEDIUM,MODERATE,obstacle_detection,VEHICLE
12,veh_2,13.22,32.69,LOW,POOR,route_planning,VEHICLE
12,veh_3,6.77,23.24,MEDIUM,MODERATE,route_planning,CLOUD
12,veh_4,13.81,84.29,LOW,MODERATE,lane_detection,VEHICLE
12,veh_5,14.43,14.78,LOW,POOR,obstacle_detection,CLOUD
12,veh_6,3.78,62.0,HIGH,GOOD,lane_detection,EDGE
12,veh_7,10.71,58.13,MEDIUM,GOOD,vehicle_diagnostics,EDGE
12,veh_8,2.51,28.91,HIGH,POOR,traffic_sign_recognition,EDGE
12,veh_9,11.23,95.3,MEDIUM,GOOD,vehicle_diagnostics,CLOUD
12,veh_10,3.39,27.22,HIGH,MODERATE,traffic_sign_recognition,EDGE
12,veh_11,17.02,65.98,LOW,POOR,route_planning,VEHICLE
12,veh_12,5.62,80.91,HIGH,MODERATE,obstacle_detection,EDGE
12,veh_13,9.36,36.37,MEDIUM,MODERATE,obstacle_detection,VEHICLE
12,veh_14,6.91,12.75,MEDIUM,POOR,traffic_sign_recognition,CLOUD
12,veh_15,15.75,83.17,LOW,POOR,traffic_sign_recognition,VEHICLE
12,veh_16,7.56,99.66,MEDIUM,POOR,route_planning,VEHICLE
12,veh_17,14.94,82.77,LOW,MODERATE,traffic_sign_recognition,CLOUD
12,veh_18,7.24,26.2,MEDIUM,GOOD,driver_behavior_analysis,EDGE
